Mun_Code;Municipality;Comarca;Province;CCAA;Population_2024;Area_km2;Distance_km;Distance_class;Growth_2018_2021_pct;Growth_2021_2024_pct
29061;Istán;CENTRO-SUR O GUADALORCE;Málaga;Andalucía;1622.0;99.44;12.34;<=30 km;4.25;6.71
39001;Alfoz de Lloredo;COSTERA;Cantabria;Cantabria;2499.0;46.71;12.34;<=30 km;1.2;2.54
46057;Benicolet;VALLES DE ALBAIDA;València/Valencia;Comunitat Valenciana;605.0;11.34;12.36;<=30 km;0.86;3.07
08139;Mura;BAGES;Barcelona;Cataluña/Catalunya;232.0;48.07;12.36;<=30 km;3.59;0.43
19143;Horche;CAMPIÑA;Guadalajara;Castilla-La Mancha;2934.0;44.4;12.37;<=30 km;6.46;8.59
07053;Santa Eugènia;MALLORCA;Illes Balears;Illes Balears;1899.0;20.36;12.37;<=30 km;3.17;10.15
05232;La Serrada;AVILA;Ávila;Castilla y León;135.0;7.25;12.4;<=30 km;20.72;0.75
08127;Monistrol de Montserrat;BAGES;Barcelona;Cataluña/Catalunya;3198.0;11.95;12.44;<=30 km;7.55;0.63
46136;Godelleta;HOYA DE BUÑOL;València/Valencia;Comunitat Valenciana;4182.0;37.46;12.45;<=30 km;7.28;12.6
43080;La Masó;ALT CAMP;Tarragona;Cataluña/Catalunya;288.0;3.47;12.45;<=30 km;2.54;1.77
25174;La Portella;SEGRIA;Lleida;Cataluña/Catalunya;735.0;12.39;12.46;<=30 km;3.41;1.1
08062;Castellnou de Bages;BAGES;Barcelona;Cataluña/Catalunya;1430.0;29.23;12.5;<=30 km;7.66;0.7
28087;Los Molinos;GUADARRAMA;Madrid;Comunidad de Madrid;4731.0;19.17;12.51;<=30 km;5.43;3.68
47133;Renedo de Esgueva;CENTRO;Valladolid;Castilla y León;3972.0;28.87;12.52;<=30 km;2.95;2.5
32079;Taboadela;ORENSE;Ourense;Galicia;1488.0;25.26;12.55;<=30 km;0.62;2.48
03132;la Torre de les Maçanes/Torremanzanas;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;744.0;36.5;12.55;<=30 km;4.13;9.25
04024;Benahadux;CAMPO NIJAR Y BAJO ANDARAX;Almería;Andalucía;4808.0;16.6;12.55;<=30 km;3.88;6.23
08223;Sant Llorenç Savall;VALLES OCCIDENTAL;Barcelona;Cataluña/Catalunya;2586.0;41.36;12.57;<=30 km;6.03;2.86
28136;Santorcaz;CAMPIÑA;Madrid;Comunidad de Madrid;999.0;28.22;12.65;<=30 km;8.82;8.0
31131;Iza/Itza;CUENCA PAMPLONA;Navarra;Comunidad Foral de Navarra;1380.0;51.46;12.69;<=30 km;7.84;6.73
43160;Vallmoll;ALT CAMP;Tarragona;Cataluña/Catalunya;1951.0;16.6;12.71;<=30 km;3.16;8.81
29073;Monda;CENTRO-SUR O GUADALORCE;Málaga;Andalucía;2981.0;57.65;12.74;<=30 km;9.47;7.93
43111;La Pobla de Montornès;TARRAGONES;Tarragona;Cataluña/Catalunya;3329.0;12.33;12.75;<=30 km;6.05;11.0
29039;Casabermeja;NORTE O ANTEQUERA;Málaga;Andalucía;4065.0;67.59;12.75;<=30 km;5.85;9.51
43020;Banyeres del Penedès;BAIX PENEDES;Tarragona;Cataluña/Catalunya;3347.0;12.28;12.77;<=30 km;4.86;2.04
26078;Hornos de Moncalvillo;RIOJA MEDIA;La Rioja;La Rioja;98.0;7.4;12.78;<=30 km;4.35;2.08
45088;Magán;SAGRA-TOLEDO;Toledo;Castilla-La Mancha;4114.0;29.22;12.78;<=30 km;14.5;5.65
40094;Garcillán;CUELLAR;Segovia;Castilla y León;515.0;22.4;12.9;<=30 km;13.78;0.59
46028;Algar de Palància;SAGUNTO;València/Valencia;Comunitat Valenciana;542.0;13.29;12.93;<=30 km;6.17;8.62
03017;l'Alqueria d'Asnar;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;519.0;1.08;12.95;<=30 km;1.43;4.22
12053;Chilches/Xilxes;LA PLANA;Castelló/Castellón;Comunitat Valenciana;3094.0;13.53;12.98;<=30 km;4.68;10.7
13062;Picón;CAMPO DE CALATRAVA;Ciudad Real;Castilla-La Mancha;690.0;59.54;12.99;<=30 km;1.07;4.39
37209;Mozárbez;SALAMANCA;Salamanca;Castilla y León;510.0;44.87;12.99;<=30 km;2.84;0.59
31085;Etxauri;CUENCA PAMPLONA;Navarra;Comunidad Foral de Navarra;662.0;14.1;13.01;<=30 km;1.9;2.64
46014;Albuixech;HUERTA DE VALENCIA;València/Valencia;Comunitat Valenciana;4419.0;4.36;13.05;<=30 km;5.17;5.49
03046;Busot;CENTRAL;Alacant/Alicante;Comunitat Valenciana;3629.0;33.65;13.05;<=30 km;9.64;13.16
08146;Olesa de Bonesvalls;ALT PENEDÉS;Barcelona;Cataluña/Catalunya;2093.0;30.96;13.09;<=30 km;7.61;8.84
17233;Vilobí d'Onyar;SELVA;Girona;Cataluña/Catalunya;3315.0;32.78;13.1;<=30 km;3.57;0.15
08042;Cànoves i Samalús;VALLES ORIENTAL;Barcelona;Cataluña/Catalunya;3315.0;28.77;13.11;<=30 km;7.48;2.98
03098;Orxeta;CENTRAL;Alacant/Alicante;Comunitat Valenciana;879.0;24.08;13.16;<=30 km;6.64;11.69
28057;Fresno de Torote;CAMPIÑA;Madrid;Comunidad de Madrid;2548.0;31.75;13.18;<=30 km;10.77;5.46
03061;Daya Nueva;MERIDIONAL;Alacant/Alicante;Comunitat Valenciana;1832.0;7.13;13.19;<=30 km;2.27;4.27
03073;Gorga;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;284.0;9.11;13.19;<=30 km;1.16;8.81
50288;Villanueva de Gállego;ZARAGOZA;Zaragoza;Aragón;4814.0;75.99;13.21;<=30 km;1.37;1.88
19331;Yunquera de Henares;CAMPIÑA;Guadalajara;Castilla-La Mancha;4566.0;31.03;13.22;<=30 km;10.85;4.63
03075;el Castell de Guadalest;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;282.0;15.97;13.24;<=30 km;16.27;16.05
09023;Arcos;ARLANZON;Burgos;Castilla y León;1835.0;31.42;13.27;<=30 km;7.84;1.05
28048;Corpa;CAMPIÑA;Madrid;Comunidad de Madrid;792.0;25.94;13.29;<=30 km;6.46;6.74
41063;Los Molares;LA CAMPIÑA;Sevilla;Andalucía;3636.0;42.88;13.31;<=30 km;2.98;2.05
03904;San Isidro;MERIDIONAL;Alacant/Alicante;Comunitat Valenciana;2312.0;11.7;13.32;<=30 km;11.02;7.74
04043;Felix;CAMPO DALIAS;Almería;Andalucía;770.0;81.2;13.32;<=30 km;3.43;15.96
26124;Ribafrecha;RIOJA MEDIA;La Rioja;La Rioja;1065.0;34.55;13.33;<=30 km;4.99;5.55
43128;Riudecols;BAIX CAMP;Tarragona;Cataluña/Catalunya;1232.0;19.53;13.34;<=30 km;3.29;0.57
05173;Ojos-Albos;AVILA;Ávila;Castilla y León;96.0;43.11;13.34;<=30 km;30.16;17.07
08034;Calders;BAGES;Barcelona;Cataluña/Catalunya;1114.0;33.13;13.34;<=30 km;12.37;4.8
08025;El Bruc;ANOIA;Barcelona;Cataluña/Catalunya;2288.0;47.5;13.36;<=30 km;7.4;5.1
45128;Pantoja;SAGRA-TOLEDO;Toledo;Castilla-La Mancha;3523.0;28.04;13.47;<=30 km;5.25;3.37
28162;Valdeolmos-Alalpardo;CAMPIÑA;Madrid;Comunidad de Madrid;4568.0;25.85;13.49;<=30 km;6.68;6.01
46163;Massalfassar;SAGUNTO;València/Valencia;Comunitat Valenciana;2653.0;2.54;13.5;<=30 km;3.79;3.07
43098;Nulles;ALT CAMP;Tarragona;Cataluña/Catalunya;552.0;10.72;13.51;<=30 km;8.18;6.98
43083;El Milà;ALT CAMP;Tarragona;Cataluña/Catalunya;197.0;4.18;13.51;<=30 km;4.37;3.14
25231;Torrelameu;NOGUERA;Lleida;Cataluña/Catalunya;766.0;10.68;13.55;<=30 km;2.29;0.92
40077;Espirdo;SEGOVIA;Segovia;Castilla y León;1607.0;26.0;13.58;<=30 km;11.61;10.67
46067;Benissanó;CAMPOS DE LIRIA;València/Valencia;Comunitat Valenciana;2427.0;2.25;13.59;<=30 km;4.95;3.98
45045;Cazalegas;TALAVERA;Toledo;Castilla-La Mancha;2098.0;29.52;13.59;<=30 km;7.48;13.16
01018;Zigoitia;ESTRIBACIONES GORBEA;Araba/Álava;País Vasco/Euskadi;1844.0;102.01;13.6;<=30 km;2.8;2.33
08059;Castellfollit del Boix;BAGES;Barcelona;Cataluña/Catalunya;459.0;59.56;13.61;<=30 km;0.45;2.46
18170;Rubite;LA COSTA;Granada;Andalucía;426.0;28.48;13.63;<=30 km;0.52;10.94
03086;Millena;MONTAÑA;Alacant/Alicante;Comunitat Valenciana;249.0;9.78;13.64;<=30 km;5.68;2.89
19088;Ciruelas;ALCARRIA ALTA;Guadalajara;Castilla-La Mancha;139.0;21.66;13.69;<=30 km;12.5;18.8
43127;Riudecanyes;BAIX CAMP;Tarragona;Cataluña/Catalunya;1345.0;17.08;13.69;<=30 km;5.57;12.65
04078;Rioja;CAMPO NIJAR Y BAJO ANDARAX;Almería;Andalucía;1589.0;36.38;13.71;<=30 km;9.09;6.79
08065;Castellví de la Marca;ALT PENEDÉS;Barcelona;Cataluña/Catalunya;1716.0;28.74;13.74;<=30 km;4.11;7.45
04904;Balanegra;CAMPO DALIAS;Almería;Andalucía;3016.0;31.57;13.74;<=30 km;0.89;1.93
40072;Encinillas;SEGOVIA;Segovia;Castilla y León;352.0;8.27;13.75;<=30 km;16.85;10.34
08134;Figaró-Montmany;VALLES ORIENTAL;Barcelona;Cataluña/Catalunya;1188.0;14.98;13.76;<=30 km;1.62;5.41
22015;Alcalá del Obispo;HOYA DE HUESCA;Huesca;Aragón;372.0;48.07;13.77;<=30 km;3.69;10.39
09276;La Puebla de Arganzón;BUREBA-EBRO;Burgos;Castilla y León;557.0;18.84;13.78;<=30 km;3.64;8.58
16031;Beamud;SERRANIA MEDIA;Cuenca;Castilla-La Mancha;48.0;23.37;13.79;<=30 km;8.57;26.32
29016;Árchez;VELEZ MALAGA;Málaga;Andalucía;411.0;4.79;13.8;<=30 km;1.79;3.27
29011;Almogía;CENTRO-SUR O GUADALORCE;Málaga;Andalucía;4132.0;162.83;13.83;<=30 km;2.36;7.07
08206;Sant Cugat Sesgarrigues;ALT PENEDÉS;Barcelona;Cataluña/Catalunya;1031.0;6.31;13.84;<=30 km;1.52;2.69
09297;Las Quintanillas;ARLANZON;Burgos;Castilla y León;388.0;24.77;13.84;<=30 km;0.8;2.37
