Mun_Code,Mun,pop_1996_2008 (k=12),pop_1998_2010 (k=12),pop_1999_2011 (k=12),pop_2000_2012 (k=12),pop_2001_2013 (k=12),pop_2002_2014 (k=12),pop_2003_2015 (k=12),pop_2004_2016 (k=12),pop_2005_2017 (k=12),pop_2006_2018 (k=12),pop_2007_2019 (k=12),pop_2008_2020 (k=12),pop_2009_2021 (k=12),pop_2010_2022 (k=12),pop_2011_2023 (k=12),pop_2012_2024 (k=12)
16108,Huelves,16.25,9.859154929577464,11.594202898550725,8.571428571428571,3.0303030303030303,0.0,-19.696969696969695,-5.0,-14.285714285714285,-23.88059701492537,-36.666666666666664,-13.978494623655912,7.6923076923076925,-7.6923076923076925,15.584415584415584,15.789473684210526
16109,Huérguina,-30.18867924528302,-32.58426966292135,-63.758389261744966,-60.76923076923077,-63.114754098360656,-63.888888888888886,-48.148148148148145,-44.0,-43.956043956043956,-44.680851063829785,-47.61904761904761,-31.08108108108108,-22.058823529411764,-16.666666666666664,-11.11111111111111,-13.725490196078432
16110,Huerta de la Obispalía,-12.903225806451612,-16.99346405228758,-22.875816993464053,-10.967741935483872,-14.838709677419354,-7.894736842105263,-10.135135135135135,-17.419354838709676,-5.633802816901409,-12.056737588652481,-24.503311258278146,-13.333333333333334,1.6129032258064515,-8.661417322834646,18.64406779661017,-5.797101449275362
16111,Huerta del Marquesado,-0.9174311926605505,0.4629629629629629,-1.762114537444934,-0.8695652173913043,-8.641975308641975,-16.46090534979424,-7.894736842105263,-9.82905982905983,-9.90990990990991,-9.090909090909092,-12.612612612612612,-15.277777777777779,-13.145539906103288,-21.658986175115206,-20.62780269058296,-24.12280701754386
16112,Huete,-12.109542148053059,-10.711150131694469,-9.689049121225777,-11.440107671601615,-10.135450723960766,-10.300429184549357,-10.091743119266056,-12.602212602212603,-12.25296442687747,-11.942517343904855,-13.225172074729596,-14.897760467380722,-13.777777777777779,-15.634218289085547,-14.770459081836327,-7.700101317122594
16113,Iniesta,23.786919831223628,23.983095615425253,22.679601468274775,17.084917617237007,10.285575992255566,5.728547658664131,4.234062797335871,1.0737628384687208,-5.243609351103343,-2.561196736174071,-1.3971598717361429,-7.967618236046016,-7.043756670224119,-7.541542394546228,-4.830091899978628,-2.035072526520892
16115,Laguna del Marquesado,-26.582278481012654,-12.82051282051282,-13.924050632911392,-22.36842105263158,-27.027027027027028,-29.577464788732392,-31.428571428571427,-40.27777777777778,-37.5,-31.818181818181817,-15.254237288135593,-12.068965517241379,-3.571428571428571,-17.647058823529413,-16.176470588235293,0.0
16116,Lagunaseca,-9.649122807017543,-23.008849557522122,-11.38211382113821,-26.01626016260163,-33.33333333333333,-37.903225806451616,-27.131782945736433,-37.98449612403101,-35.8974358974359,-41.964285714285715,-30.630630630630627,-35.92233009708738,-42.10526315789473,-36.7816091954023,-55.04587155963303,-46.15384615384615
16117,Landete,-17.312348668280872,-13.40465701699182,-12.205975842339479,-12.45944192083063,-11.51797603195739,-9.546377792823291,-7.2894550601556976,-9.66595593461265,-11.006517016654598,-12.202166064981949,-10.254545454545456,-8.56515373352855,-11.863173216885007,-11.555232558139535,-10.934105720492397,-9.933283914010378
16118,Ledaña,-5.153617443012884,-1.8800813008130084,-0.6185567010309279,-0.47318611987381703,-0.8592910848549946,-8.448459086078639,-12.847404299947563,-12.925170068027212,-16.675271037687146,-16.9811320754717,-18.551328817092237,-18.443051201671892,-18.89927310488058,-19.05748316934231,-15.871369294605808,-15.372424722662439
