Mun_Code;Municipality;Population_2024;Distance_to_50k_city_km;Distance_class;Var_2011_2017_pct;Var_2018_2021_pct;Var_2021_2024_pct;Municipality_size;Comarca;Province;CCAA
26067;Gallinero de Cameros;16,0;35,15;30-60 km;-11,54;5,56;-15,79;<1,000 (very small rural);SIERRA RIOJA MEDIA;La Rioja;La Rioja
19097;Congostrina;17,0;48,19;30-60 km;-50,0;-25,0;41,67;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
19134;Herrería;17,0;76,61;>60 km;-12,5;36,84;-34,62;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
44003;Aguatón;17,0;82,43;>60 km;-5,0;-5,56;0,0;<1,000 (very small rural);CUENCA DEL JILOCA;Teruel;Aragón
50041;Bagüés;17,0;62,17;>60 km;-47,62;33,33;6,25;<1,000 (very small rural);EGEA DE LOS CABALLEROS;Zaragoza;Aragón
40224;Ventosilla y Tejadilla;17,0;50,92;30-60 km;-44,44;-15,0;0,0;<1,000 (very small rural);SEGOVIA;Segovia;Castilla y León
26048;Cidamón;17,0;33,55;30-60 km;-33,33;0,0;-29,17;<1,000 (very small rural);RIOJA ALTA;La Rioja;La Rioja
09317;Rezmondo;17,0;48,64;30-60 km;25,0;10,53;-19,05;<1,000 (very small rural);PISUERGA;Burgos;Castilla y León
40006;Aldealcorvo;18,0;49,83;30-60 km;0,0;-13,64;-5,26;<1,000 (very small rural);SEPULVEDA;Segovia;Castilla y León
09046;Bascuñana;18,0;48,45;30-60 km;-34,15;-16,0;-14,29;<1,000 (very small rural);RIOJA ALTA;Burgos;Castilla y León
34137;Pozo de Urama;18,0;41,19;30-60 km;-16,67;-12,5;-14,29;<1,000 (very small rural);CAMPOS;Palencia;Castilla y León
42139;Pinilla del Campo;18,0;88,88;>60 km;20,0;0,0;-10,0;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
42011;Aldealpozo;18,0;78,28;>60 km;-40,0;-5,56;5,88;<1,000 (very small rural);CAMPO DE GOMARA;Soria;Castilla y León
19309;Valhermoso;18,0;63,62;>60 km;-25,64;0,0;-28,0;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
09247;Palacios de Riopisuerga;18,0;46,9;30-60 km;-23,53;-8,33;-18,18;<1,000 (very small rural);PISUERGA;Burgos;Castilla y León
42053;Carrascosa de Abajo;18,0;87,25;>60 km;-17,86;-21,74;0,0;<1,000 (very small rural);BURGO DE OSMA;Soria;Castilla y León
40021;Arevalillo de Cega;18,0;38,02;30-60 km;-25,0;-19,05;5,88;<1,000 (very small rural);SEGOVIA;Segovia;Castilla y León
09310;Reinoso;18,0;29,85;<=30 km;-14,29;36,36;20,0;<1,000 (very small rural);BUREBA-EBRO;Burgos;Castilla y León
19153;Iniéstola;18,0;78,32;>60 km;-4,35;4,76;-18,18;<1,000 (very small rural);ALCARRIA ALTA;Guadalajara;Castilla-La Mancha
42118;Momblona;18,0;113,52;>60 km;-11,54;-26,09;5,88;<1,000 (very small rural);ALMAZAN;Soria;Castilla y León
16265;Villarejo de la Peñuela;18,0;37,19;30-60 km;-23,08;9,52;-21,74;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
16143;Olmedilla de Eliz;19,0;37,77;30-60 km;-20,0;0,0;26,67;<1,000 (very small rural);ALCARRIA;Cuenca;Castilla-La Mancha
19076;Castellar de la Muela;19,0;72,04;>60 km;-21,05;23,08;-40,62;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
19289;Traíd;19,0;54,23;30-60 km;-25,71;0,0;-29,63;<1,000 (very small rural);MOLINA DE ARAGON;Guadalajara;Castilla-La Mancha
47002;Aguasal;19,0;42,41;30-60 km;-20,0;-26,09;11,76;<1,000 (very small rural);SURESTE;Valladolid;Castilla y León
42084;Fresno de Caracena;19,0;91,51;>60 km;-25,93;11,11;-5,0;<1,000 (very small rural);BURGO DE OSMA;Soria;Castilla y León
50042;Balconchán;19,0;81,57;>60 km;6,67;11,76;0,0;<1,000 (very small rural);DAROCA;Zaragoza;Aragón
19202;La Olmeda de Jadraque;19,0;64,98;>60 km;-61,11;66,67;26,67;<1,000 (very small rural);SIERRA;Guadalajara;Castilla-La Mancha
42054;Carrascosa de la Sierra;19,0;63,98;>60 km;-10,0;0,0;11,76;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
42198;Valtajeros;19,0;60,99;>60 km;-3,85;-12,0;-13,64;<1,000 (very small rural);TIERRAS ALTAS Y VALLE DEL TERA;Soria;Castilla y León
16276;Yémeda;19,0;54,28;30-60 km;-40,0;-22,73;11,76;<1,000 (very small rural);SERRANIA BAJA;Cuenca;Castilla-La Mancha
