Mun_Code,Mun,pop_1996_2024 (k=28)
2064,Pozo-Lorente,-28.51851851851852
2065,Pozuelo,-31.725146198830412
2066,"Recueja, La",-38.78116343490305
2067,Riópar,-5.779944289693593
2068,Robledo,-14.37908496732026
2069,"Roda, La",15.432966057827405
2070,Salobre,-31.366459627329192
2071,San Pedro,-11.302395209580839
2072,Socovos,-21.082621082621085
2073,Tarazona de la Mancha,2.359437751004016
2074,Tobarra,8.21078431372549
2075,Valdeganga,-3.016815034619189
2076,Vianos,-35.61368209255533
2077,Villa de Ves,-19.11764705882353
2078,Villalgordo del Júcar,-15.060240963855422
2079,Villamalea,15.192809510002899
2080,Villapalacios,-38.1057268722467
2081,Villarrobledo,13.972479133769456
2082,Villatoya,-41.75257731958763
2083,Villavaliente,-34.527687296416936
2084,Villaverde de Guadalimar,-45.614035087719294
2085,Viveros,-48.739495798319325
2086,Yeste,-49.96011168727563
2901,Pozo Cañada,
3001,"Atzúbia, l'",2.0618556701030926
3002,Agost,27.134677620114513
3003,Agres,-7.01219512195122
3004,Aigües,118.56617647058823
3005,Albatera,57.96602114767732
3006,Alcalalí,66.9833729216152
3007,Alcosser,112.29508196721312
3008,Alcoleja,-36.734693877551024
3009,Alcoi/Alcoy,-0.9011670852415424
3010,Alfafara,5.626598465473146
3011,"Alfàs del Pi, l'",60.67585877102096
3012,Algorfa,223.15789473684208
3013,Algueña,-5.824561403508772
3014,Alacant/Alicante,30.644591498923802
3015,Almoradí,66.65924771867348
3016,Almudaina,-5.6000000000000005
3017,"Alqueria d'Asnar, l'",27.51842751842752
3018,Altea,77.25423478067904
3019,Aspe,34.03087059971936
3020,Balones,-25.568181818181817
3021,Banyeres de Mariola,3.5572562358276647
3022,Benasau,-18.571428571428573
3023,Beneixama,-6.670372429127293
3024,Benejúzar,13.735276502295868
3025,Benferri,103.06627101879326
3026,Beniarbeig,97.35099337748345
3027,Beniardà,4.910714285714286
3028,Beniarrés,-25.136612021857925
3029,Benigembla,43.333333333333336
3030,Benidoleig,55.68326947637292
3031,Benidorm,49.206634692246205
3032,Benifallim,-31.360946745562128
3033,Benifato,2.857142857142857
3034,Benijófar,118.02763819095476
3035,Benilloba,-22.2684703433923
3036,Benillup,3.8095238095238098
3037,Benimantell,26.851851851851855
3038,Benimarfull,9.558823529411764
3039,Benimassot,-21.311475409836063
3040,Benimeli,37.68996960486322
3041,Benissa,34.5532007865414
3042,"Poble Nou de Benitatxell, el/Benitachell",143.89140271493213
3043,Biar,1.8497757847533634
3044,Bigastro,57.40309256513451
3045,Bolulla,58.82352941176471
3046,Busot,164.3117261471231
3047,Calp,88.66769836803601
3048,Callosa d'en Sarrià,25.893704523884846
3049,Callosa de Segura,29.0741956664478
3050,"Campello, el",101.3157894736842
3051,"Camp de Mirra, el/Campo de Mirra",17.41424802110818
3052,Cañada,12.591911764705882
3053,Castalla,52.29982964224872
3054,Castell de Castells,-11.022044088176353
3055,Catral,93.05470190534727
3056,Cocentaina,6.277358666294123
3057,Confrides,-1.3333333333333335
3058,Cox,32.55652173913043
3059,Crevillent,28.61107606913082
3060,Quatretondeta,-29.100529100529098
3061,Daya Nueva,54.079058031959626
3062,Daya Vieja,259.016393442623
3063,Dénia,70.8908223815938
3064,Dolores,32.234372449812305
3065,Elx/Elche,26.853803610560366
3066,Elda,2.0227104699436977
3067,Fageca,-20.0
3068,Famorca,-39.726027397260275
3069,Finestrat,521.8085106382978
3070,Formentera del Segura,124.85795454545455
3071,Gata de Gorgos,31.341222879684416
3072,Gaianes,76.11464968152866
3073,Gorga,5.185185185185185
3074,Granja de Rocamora,31.9364161849711
3075,"Castell de Guadalest, el",66.86390532544378
3076,Guardamar del Segura,120.14099914914307
3077,"Fondó de les Neus, el/Hondón de las Nieves",69.88027725267801
3078,Hondón de los Frailes,138.1818181818182
3079,Ibi,14.869994306319983
3080,Jacarilla,41.090425531914896
3081,Xaló,51.2680258577822
3082,Xàbia/Jávea,40.845136259524146
3083,Xixona/Jijona,-3.9563617245005256
3084,"Orxa, l'/Lorcha",-29.404617253948967
3085,Llíber,71.72675521821633
3086,Millena,58.59872611464968
3088,Monforte del Cid,76.44628099173553
3089,Monòver/Monóvar,5.618535374431112
3090,Mutxamel,117.23922059629079
3091,Murla,76.20481927710844
3092,Muro de Alcoy,31.54560810810811
3093,Novelda,13.045540796963948
3094,"Nucia, la",167.94579172610554
3095,Ondara,46.08661876092445
3096,Onil,17.285587975243146
3097,Orba,51.45939086294417
3098,Orxeta,87.02127659574468
3099,Orihuela,65.05007491522751
3100,Parcent,33.116036505867015
3101,Pedreguer,48.419613873227405
3102,Pego,2.5364065965859774
3103,Penàguila,-15.31791907514451
3104,Petrer,28.564421807206188
3105,"Pinós, el/Pinoso",40.820770519262986
3106,Planes,-15.328467153284672
3107,Polop,183.2080200501253
3109,Rafal,61.876445325404696
3110,"Ràfol d'Almúnia, el",91.03260869565217
3111,Redován,57.27031131359149
