Mun_Code,Mun,pop_1996_2005 (k=9),pop_1998_2007 (k=9),pop_1999_2008 (k=9),pop_2000_2009 (k=9),pop_2001_2010 (k=9),pop_2002_2011 (k=9),pop_2003_2012 (k=9),pop_2004_2013 (k=9),pop_2005_2014 (k=9),pop_2006_2015 (k=9),pop_2007_2016 (k=9),pop_2008_2017 (k=9),pop_2009_2018 (k=9),pop_2010_2019 (k=9),pop_2011_2020 (k=9),pop_2012_2021 (k=9),pop_2013_2022 (k=9),pop_2014_2023 (k=9),pop_2015_2024 (k=9)
8075,Dosrius,80.38783605112384,83.53033884948779,82.01869158878505,73.47153900210822,64.26229508196721,55.57242635894322,47.71689497716895,37.825624667729926,25.50696310774493,16.69277243231148,10.648346930012881,6.757034298623947,6.967794207008304,9.401197604790418,10.325980870583642,9.833848531684698,10.12536162005786,15.04769320615145,17.775647171620328
8076,Esparreguera,43.024618991793666,36.73784409570363,31.762899262899264,28.10668229777257,23.66472172351885,17.521915757964507,12.642374890480854,8.743738530972573,4.556412729026037,2.6294632300780325,2.3800564440263408,2.041862850216773,0.8693662777396477,0.948189819435623,1.4372782679887202,2.296852122986823,2.002189181793305,3.490892321881485,3.9122621077369706
8077,Esplugues de Llobregat,-0.5554368724631489,-0.03887353144436766,0.6090186592950934,2.614522203731278,2.0073910476482033,1.5199617291467338,0.6006846513230133,1.637808994881847,-0.895810955961332,-2.5252093659203556,-1.1947457114462257,-1.494011076289014,-1.0819000469463531,0.06645372891165942,0.9917107545997816,0.10914694174549502,-0.5421389847215378,1.7081048273470185,4.354973041686757
8078,"Espunyola, L'",-4.593639575971731,-7.801418439716312,-5.944055944055944,-5.797101449275362,0.7692307692307693,-2.5454545454545454,-5.555555555555555,-2.93040293040293,-4.074074074074074,-7.352941176470589,-5.0,-10.780669144981413,-0.7692307692307693,-3.0534351145038165,-9.701492537313433,1.1764705882352942,0.0,2.7027027027027026,3.968253968253968
8079,"Estany, L'",2.8795811518324608,-2.8205128205128207,-2.5316455696202533,-2.0100502512562812,-0.5115089514066496,-2.722772277227723,-2.450980392156863,1.4814814814814816,3.5623409669211195,3.91644908616188,6.596306068601583,5.194805194805195,0.7692307692307693,4.370179948586118,3.816793893129771,2.512562814070352,-4.866180048661801,-0.4914004914004914,0.7537688442211055
8080,Fígols,-9.433962264150944,-7.547169811320755,-11.320754716981133,-4.0,10.204081632653061,0.0,-8.0,-4.25531914893617,-10.416666666666668,2.380952380952381,-18.367346938775512,-10.638297872340425,-12.5,-22.22222222222222,-17.307692307692307,0.0,0.0,9.30232558139535,-4.651162790697675
8081,Fogars de Montclús,33.22683706070288,44.983818770226534,42.10526315789473,32.857142857142854,32.26744186046512,24.10958904109589,20.108695652173914,19.746835443037973,15.587529976019185,9.153318077803203,3.125,-0.2178649237472767,0.21505376344086022,3.296703296703297,4.856512141280353,5.656108597285068,4.2283298097251585,0.0,5.2410901467505235
8082,Fogars de la Selva,104.3630017452007,123.83177570093457,127.69230769230768,118.64161849710983,114.30594900849857,90.5852417302799,66.19565217391305,42.00956937799043,29.120409906063195,9.865470852017937,1.0438413361169103,-2.1621621621621623,-3.040317250495704,-4.097818902842035,-1.9359145527369825,0.7194244604316548,5.3908355795148255,7.936507936507936,14.285714285714285
8083,Folgueroles,44.09984871406959,46.58119658119658,42.36615994712491,37.984981226533165,35.12195121951219,29.292343387471,25.421822272215973,22.69503546099291,18.58267716535433,15.229450327786182,11.661807580174926,6.685236768802229,3.2199546485260773,2.3014440433213,1.6150740242261103,1.748878923766816,0.22232103156958646,0.398406374501992,-0.9628008752735231
8084,Fonollosa,48.03921568627451,50.117370892018776,50.16538037486218,48.67162592986185,37.622789783889985,33.55325164938737,31.084776663628077,23.273657289002557,18.294701986754966,8.828125,9.538702111024238,3.671071953010279,2.8591851322373123,3.7116345467523195,2.9640084685956247,3.9638386648122395,6.915629322268327,9.027291812456264,13.783201722900214
