Mun_Code,Mun,pop_1996_2003 (k=7),pop_1998_2005 (k=7),pop_1999_2006 (k=7),pop_2000_2007 (k=7),pop_2001_2008 (k=7),pop_2002_2009 (k=7),pop_2003_2010 (k=7),pop_2004_2011 (k=7),pop_2005_2012 (k=7),pop_2006_2013 (k=7),pop_2007_2014 (k=7),pop_2008_2015 (k=7),pop_2009_2016 (k=7),pop_2010_2017 (k=7),pop_2011_2018 (k=7),pop_2012_2019 (k=7),pop_2013_2020 (k=7),pop_2014_2021 (k=7),pop_2015_2022 (k=7),pop_2016_2023 (k=7),pop_2017_2024 (k=7)
12005,"Alcora, l'",14.58092819210344,17.171142467000454,17.907106883044207,18.218756863606416,19.641119878932006,16.449086161879894,11.123425692695214,7.655692185640619,5.0888608332524035,2.4869482676791645,-0.8639108221086855,-4.309721720274666,-5.515695067264574,-4.778311723637683,-3.9240972733972,-3.844376674983828,-3.5194961563397245,-2.2863568215892056,-1.1613634217732036,-0.0854295206454675,0.7522376690154257
12006,Alcudia de Veo,11.049723756906078,15.819209039548024,22.674418604651162,3.6363636363636362,-0.9345794392523363,3.9408866995073892,11.940298507462686,12.254901960784313,7.804878048780488,1.4218009478672986,-4.385964912280701,-1.4150943396226416,-4.739336492890995,-9.333333333333334,-12.22707423580786,-14.027149321266968,-12.149532710280374,-10.091743119266056,-6.698564593301436,0.9950248756218906,4.411764705882353
12007,Alfondeguilla,-4.229934924078091,-2.176278563656148,-1.8681318681318682,-0.6607929515418502,-2.4229074889867843,-4.972375690607735,-1.0192525481313703,1.1481056257175661,-3.0033370411568407,-1.9036954087346025,-0.9977827050997782,1.6930022573363432,3.953488372093023,-0.4576659038901602,-2.1566401816118046,-0.6880733944954129,-1.5981735159817352,-2.57558790593505,-2.6637069922308543,-2.348993288590604,0.0
12008,Algimia de Almonacid,-14.696485623003195,-2.083333333333333,-0.34843205574912894,8.992805755395683,11.458333333333332,15.492957746478872,22.09737827715356,17.100371747211895,10.638297872340425,5.244755244755245,-3.6303630363036308,-12.461059190031152,-19.20731707317073,-17.791411042944784,-17.77777777777778,-15.705128205128204,-12.956810631229235,-17.80821917808219,-12.099644128113878,-6.037735849056604,-3.731343283582089
12009,Almassora,12.749908009321723,19.574855754631034,24.01107833102535,28.8512753743268,39.51763606633964,41.4815234640671,39.39624694044058,36.833500342808925,32.755993498577816,27.135019663057726,17.42605180966379,6.684525553555733,2.6799663501982938,0.07803964413922272,-0.4393910194642513,0.5088571756513754,2.1232719773924997,5.13181569271689,7.434871311989956,9.195536828963794,11.108078602620088
12010,Almedíjar,-8.666666666666668,-2.4734982332155475,-0.7299270072992701,-2.5454545454545454,-6.227106227106227,-10.320284697508896,-2.5547445255474455,13.333333333333334,7.608695652173914,2.2058823529411766,-2.6119402985074625,7.421875,11.507936507936508,1.1235955056179776,-16.33986928104575,-14.47811447811448,-12.23021582733813,-2.681992337164751,-2.181818181818182,-0.3558718861209964,6.666666666666667
12011,Almenara,1.1558389796731765,1.3597280543891221,6.458708258348331,10.749185667752444,14.834943639291465,18.14194577352472,18.34121355397951,20.951437066402377,20.576050503057804,15.495867768595042,12.555147058823529,5.714285714285714,0.3881201484981438,-1.4483103046445813,-3.310390036053753,-1.8651832460732982,-0.9595056106684013,2.139474113996407,5.9194163488642015,10.791729702471004,13.344594594594595
12012,Altura,4.558680892337536,6.71119592875318,10.368956743002544,16.130060567421104,20.317965023847375,23.03829252981795,22.108843537414966,21.335807050092765,15.230998509687035,12.3342939481268,0.741147405984079,-3.6205073995771673,-7.627551020408163,-9.875917953912383,-10.575942915392456,-8.742886704604242,-7.619291944586967,-0.32697547683923706,0.5483959418700302,2.0436343551505107,6.490587243607755
12013,Arañuel,49.62406015037594,40.140845070422536,17.5,7.734806629834254,-2.380952380952381,2.051282051282051,0.5025125628140703,2.6178010471204187,-1.507537688442211,-1.5957446808510638,-7.179487179487179,-16.585365853658537,-19.597989949748744,-24.5,-25.510204081632654,-23.46938775510204,-18.37837837837838,-16.022099447513813,-5.263157894736842,3.125,5.298013245033113
12014,Ares del Maestrat,-18.505338078291814,-14.285714285714285,-17.16417910447761,-14.173228346456693,-12.851405622489958,-12.195121951219512,-10.043668122270741,-9.649122807017543,-5.701754385964912,-7.207207207207207,-3.669724770642202,-4.147465437788019,-6.481481481481481,-4.368932038834951,-7.766990291262135,-13.488372093023257,-10.679611650485436,-16.666666666666664,-16.826923076923077,-13.861386138613863,-10.152284263959391
