Mun_Code,Mun,pop_1996_2019 (k=23),pop_1998_2021 (k=23),pop_1999_2022 (k=23),pop_2000_2023 (k=23),pop_2001_2024 (k=23)
34060,Cobos de Cerrato,-46.84014869888476,-50.56603773584906,-49.23076923076923,-45.49180327868852,-46.21848739495798
34061,Collazos de Boedo,-42.04545454545455,-39.1812865497076,-41.21212121212121,-32.48407643312102,-35.294117647058826
34062,Congosto de Valdavia,-45.16129032258064,-48.80546075085324,-47.87234042553192,-50.352112676056336,-48.9051094890511
34063,Cordovilla la Real,-10.655737704918032,-24.031007751937985,1.639344262295082,2.380952380952381,2.380952380952381
34066,Cubillas de Cerrato,-45.04504504504504,-37.62376237623762,-34.69387755102041,-28.735632183908045,-20.98765432098765
34067,Dehesa de Montejo,-49.621212121212125,-48.3739837398374,-42.616033755274266,-38.99082568807339,-37.78801843317972
34068,Dehesa de Romanos,-5.660377358490567,5.660377358490567,4.25531914893617,20.454545454545457,4.545454545454546
34069,Dueñas,-12.495812395309883,-10.989010989010989,-12.60957518543493,-11.936249576127501,-12.483085250338295
34070,Espinosa de Cerrato,-48.014440433213,-51.449275362318836,-52.919708029197075,-55.1094890510949,-53.20754716981132
34071,Espinosa de Villagonzalo,-40.689655172413794,-40.43321299638989,-40.36363636363636,-38.60294117647059,-38.88888888888889
34072,Frechilla,-46.73913043478261,-46.3768115942029,-51.07913669064749,-50.36764705882353,-49.44237918215613
34073,Fresno del Río,-7.352941176470589,-7.920792079207921,-8.45771144278607,-11.0,-15.346534653465346
34074,Frómista,-26.320845341018252,-24.342745861733203,-23.123123123123122,-22.95918367346939,-21.675392670157066
34076,Fuentes de Nava,-25.146886016451237,-25.771971496437057,-26.594464500601685,-27.23926380368098,-30.429447852760738
34077,Fuentes de Valdepero,79.6812749003984,104.5267489711934,109.16666666666666,98.7603305785124,101.66666666666666
34079,Grijota,192.0654911838791,207.38916256157634,220.935960591133,228.44932844932845,216.9318181818182
34080,Guardo,-31.71204009568288,-33.96484820817165,-34.67538426244551,-34.609600925390396,-35.09592887225082
34081,Guaza de Campos,-29.411764705882355,-30.120481927710845,-32.53012048192771,-26.923076923076923,-25.675675675675674
34082,Hérmedes de Cerrato,-48.38709677419355,-47.651006711409394,-43.47826086956522,-44.3609022556391,-43.07692307692308
34083,Herrera de Pisuerga,-28.793915248098518,-30.856515373352856,-30.033247137052086,-28.092881614008373,-26.377036462373933
34084,Herrera de Valdecañas,-19.5,-25.24271844660194,-27.669902912621357,-25.615763546798032,-21.0
34086,Hontoria de Cerrato,-21.641791044776117,-20.3125,-17.741935483870968,-10.569105691056912,-12.396694214876034
34087,Hornillos de Cerrato,-4.72972972972973,2.142857142857143,10.869565217391305,31.538461538461537,40.49586776859504
34088,Husillos,39.737991266375545,59.111111111111114,61.30434782608696,75.7847533632287,72.36842105263158
34089,Itero de la Vega,-41.08527131782946,-38.46153846153847,-40.0,-39.91769547325103,-39.24050632911392
34091,Lagartos,-25.842696629213485,-26.857142857142858,-26.744186046511626,-28.402366863905325,-31.176470588235293
34092,Lantadilla,-50.52447552447552,-48.55072463768116,-45.55765595463138,-45.75289575289575,-44.51219512195122
34093,"Vid de Ojeda, La",-35.61643835616438,-37.5886524822695,-36.496350364963504,-31.61764705882353,-33.82352941176471
34094,Ledigos,-43.859649122807014,-41.964285714285715,-40.74074074074074,-39.04761904761905,-40.38461538461539
34096,Lomas,-13.559322033898304,-21.052631578947366,-24.137931034482758,-33.87096774193548,-28.07017543859649
34098,Magaz de Pisuerga,35.994587280108256,41.43646408839779,39.50276243093923,39.25619834710744,42.995839112343965
34099,Manquillos,-18.51851851851852,-20.77922077922078,-32.467532467532465,-26.76056338028169,-18.30985915492958
34100,Mantinos,-33.175355450236964,-31.372549019607842,-31.55339805825243,-28.855721393034827,-23.28042328042328
34101,Marcilla de Campos,-44.57831325301205,-41.55844155844156,-37.66233766233766,-33.78378378378378,-15.942028985507244
34102,Mazariegos,-24.65753424657534,-24.91349480968858,-26.643598615916954,-28.52233676975945,-29.122807017543863
34103,Mazuecos de Valdeginate,-33.78378378378378,-34.04255319148936,-36.17021276595745,-37.68115942028986,-40.6015037593985
34104,Melgar de Yuso,-41.07981220657277,-37.28395061728395,-36.408977556109726,-32.64781491002571,-28.306878306878307
34106,Meneses de Campos,-23.92638036809816,-25.925925925925924,-32.903225806451616,-38.46153846153847,-36.075949367088604
34107,Micieces de Ojeda,-36.52173913043478,-34.25925925925926,-35.714285714285715,-37.16814159292036,-33.0188679245283
34108,Monzón de Campos,-26.64188351920694,-24.36548223350254,-22.14941022280472,-23.7467018469657,-21.10960757780785
34109,Moratinos,-31.57894736842105,-33.68421052631579,-31.521739130434785,-26.96629213483146,-29.761904761904763
34110,Mudá,-39.436619718309856,-39.097744360902254,-38.46153846153847,-41.86046511627907,-36.0
34112,Nogal de las Huertas,-48.75,-48.0,-43.66197183098591,-36.231884057971016,-32.35294117647059
34113,Olea de Boedo,-18.367346938775512,-12.76595744680851,-19.565217391304348,-20.0,-13.333333333333334
34114,Olmos de Ojeda,-46.02739726027397,-47.47191011235955,-45.2247191011236,-47.50733137829912,-49.101796407185624
34116,Osornillo,-47.16981132075472,-48.148148148148145,-46.15384615384615,-41.0,-39.175257731958766
34120,Palencia,-0.5315167890804379,-3.329362342466612,-5.016680774784644,-5.3117983451800574,-5.069523479637785
34121,Palenzuela,-40.116279069767444,-36.30952380952381,-35.16819571865443,-33.0188679245283,-31.08974358974359
34122,Páramo de Boedo,3.278688524590164,-10.16949152542373,-11.016949152542372,-5.405405405405405,-3.7037037037037033
34123,Paredes de Nava,-26.04943114947038,-25.209413641802954,-23.303715670436187,-21.952224052718286,-19.80696600923206
34124,Payo de Ojeda,-33.663366336633665,-35.051546391752574,-35.051546391752574,-39.175257731958766,-40.625
34125,Pedraza de Campos,-43.83561643835616,-47.88732394366197,-45.32374100719424,-41.98473282442748,-44.18604651162791
34126,Pedrosa de la Vega,-24.623115577889447,-29.064039408866993,-23.589743589743588,-27.2264631043257,-26.89295039164491
34127,Perales,-36.496350364963504,-27.200000000000003,-15.573770491803279,-0.8620689655172413,8.256880733944955
34129,Pino del Río,-35.31598513011153,-35.79335793357934,-38.768115942028984,-42.75618374558304,-41.15523465703971
34130,Piña de Campos,-31.545741324921135,-34.93589743589743,-34.75409836065574,-33.33333333333333,-32.98611111111111
34131,Población de Arroyo,-37.5,-41.05263157894737,-44.086021505376344,-51.08695652173913,-54.83870967741935
34132,Población de Campos,-43.17180616740088,-34.78260869565217,-35.609756097560975,-37.0,-36.45833333333333
34133,Población de Cerrato,-15.503875968992247,-13.178294573643413,-13.709677419354838,-20.47244094488189,-22.83464566929134
34134,Polentinos,-61.224489795918366,-52.68817204301075,-51.041666666666664,-51.64835164835166,-55.55555555555556
34135,Pomar de Valdivia,-13.443830570902392,-10.881801125703564,-11.50278293135436,-9.701492537313433,-7.196969696969697
34136,Poza de la Vega,-40.0,-37.94326241134752,-39.27272727272727,-39.05109489051095,-41.342756183745585
34137,Pozo de Urama,-44.18604651162791,-52.27272727272727,-56.52173913043478,-55.81395348837209,-59.09090909090909
34139,Prádanos de Ojeda,-28.195488721804512,-29.65779467680608,-30.46875,-29.365079365079367,-25.206611570247933
34140,"Puebla de Valdavia, La",-42.5287356321839,-44.24242424242424,-47.239263803680984,-46.496815286624205,-48.07692307692308
34141,Quintana del Puente,-7.719298245614035,7.806691449814126,9.022556390977442,1.171875,1.2096774193548387
34143,Quintanilla de Onsoña,-34.19117647058824,-31.93916349809886,-27.710843373493976,-24.686192468619247,-22.413793103448278
34146,Reinoso de Cerrato,-38.372093023255815,-32.55813953488372,-32.53012048192771,-32.53012048192771,-32.94117647058823
34147,Renedo de la Vega,-36.394557823129254,-30.036630036630036,-25.563909774436087,-26.296296296296294,-26.717557251908396
34149,Requena de Campos,-67.85714285714286,-62.06896551724138,-61.29032258064516,-53.44827586206896,-44.230769230769226
34151,Respenda de la Peña,-50.49180327868853,-48.78048780487805,-48.771929824561404,-46.35036496350365,-45.348837209302324
34152,Revenga de Campos,-24.0,-21.808510638297875,-25.263157894736842,-28.04232804232804,-23.595505617977526
34154,Revilla de Collazos,-25.24271844660194,-14.130434782608695,-8.045977011494253,-9.30232558139535,-12.790697674418606
34155,Ribas de Campos,-37.280701754385966,-33.170731707317074,-27.941176470588236,-22.33502538071066,-26.08695652173913
34156,Riberos de la Cueza,-44.329896907216494,-41.935483870967744,-40.0,-38.20224719101123,-39.325842696629216
34157,Saldaña,-6.974552309142319,-7.8125,-8.647798742138365,-8.879824286162535,-10.06269592476489
34158,Salinas de Pisuerga,7.77027027027027,8.362369337979095,7.931034482758621,11.032028469750891,20.955882352941178
34159,San Cebrián de Campos,-26.807760141093475,-24.080882352941178,-23.741007194244602,-23.290203327171906,-23.782771535580522
34160,San Cebrián de Mudá,-28.440366972477065,-27.014218009478675,-27.751196172248804,-30.476190476190478,-25.0
34161,San Cristóbal de Boedo,-59.25925925925925,-53.06122448979592,-53.06122448979592,-60.416666666666664,-57.446808510638306
34163,San Mamés de Campos,-57.72357723577236,-59.166666666666664,-62.28070175438597,-58.92857142857143,-52.42718446601942
34165,San Román de la Cuba,-55.47445255474452,-51.5625,-53.17460317460318,-55.46218487394958,-53.09734513274337
34167,Santa Cecilia del Alcor,-35.869565217391305,-37.42690058479532,-37.12574850299401,-41.81818181818181,-43.20987654320987
34168,Santa Cruz de Boedo,-34.24657534246575,-28.985507246376812,-25.37313432835821,-24.615384615384617,-17.46031746031746
34169,Santervás de la Vega,-24.315068493150687,-27.54385964912281,-26.31578947368421,-26.90909090909091,-25.925925925925924
34170,Santibáñez de Ecla,-52.293577981651374,-54.285714285714285,-53.398058252427184,-53.92156862745098,-57.99999999999999
34171,Santibáñez de la Peña,-36.7359413202934,-36.9811320754717,-37.587747287811105,-36.459709379128135,-37.733333333333334
34174,Santoyo,-36.577181208053695,-36.271186440677965,-36.610169491525426,-34.26573426573427,-33.10104529616725
34175,"Serna, La",-28.888888888888886,-27.692307692307693,-29.365079365079367,-28.225806451612907,-25.6
34176,Sotobañado y Priorato,-24.06417112299465,-25.773195876288657,-17.989417989417987,-13.186813186813188,-13.661202185792352
34177,Soto de Cerrato,-23.868312757201647,-18.64406779661017,-19.396551724137932,-23.24561403508772,-21.076233183856502
34178,Tabanera de Cerrato,-25.82417582417583,-21.714285714285715,-18.497109826589593,-23.333333333333332,-22.905027932960895
34179,Tabanera de Valdavia,-52.63157894736842,-57.14285714285714,-61.016949152542374,-58.92857142857143,-59.25925925925925
34180,Támara de Campos,-37.96296296296296,-28.846153846153843,-31.132075471698112,-23.46938775510204,-20.43010752688172
34181,Tariego de Cerrato,-16.05584642233857,-13.854351687388988,-14.642857142857144,-13.903743315508022,-11.347517730496454
34182,Torquemada,-24.644549763033176,-21.774193548387096,-22.231337161607875,-19.302721088435373,-16.218560277536863
34184,Torremormojón,-47.61904761904761,-39.743589743589745,-58.0952380952381,-51.08695652173913,-48.86363636363637
34185,Triollo,-34.31372549019608,-26.804123711340207,-23.46938775510204,-25.510204081632654,-20.43010752688172
34186,Valbuena de Pisuerga,-39.743589743589745,-38.666666666666664,-34.21052631578947,-32.5,-32.467532467532465
34189,Valdeolmillos,-40.625,-38.04347826086957,-39.56043956043956,-36.36363636363637,-31.818181818181817
34190,Valderrábano,-39.75903614457831,-40.74074074074074,-41.25,-40.243902439024396,-40.50632911392405
34192,Valde-Ucieza,-34.53237410071942,-35.714285714285715,-33.33333333333333,-33.87096774193548,-37.704918032786885
34196,Valle de Cerrato,-33.33333333333333,-35.76642335766424,-34.074074074074076,-36.92307692307693,-35.65891472868217
34199,Velilla del Río Carrión,-35.82995951417004,-37.62480294272202,-36.76549865229111,-37.01870187018702,-36.106395019807586
34201,Vertavillo,-30.888030888030887,-31.300813008130078,-31.275720164609055,-28.50877192982456,-26.10619469026549
34202,Villabasta de Valdavia,-27.27272727272727,-23.809523809523807,-17.073170731707318,-17.5,-17.5
34204,Villacidaler,-32.91139240506329,-44.44444444444444,-41.77215189873418,-41.02564102564102,-39.473684210526315
34205,Villaconancio,-36.45833333333333,-36.17021276595745,-36.666666666666664,-38.20224719101123,-43.18181818181818
34206,Villada,-33.285714285714285,-32.04545454545455,-33.71212121212121,-34.10852713178294,-34.43396226415094
34208,Villaeles de Valdavia,-45.55555555555556,-39.08045977011494,-41.37931034482759,-43.67816091954023,-42.857142857142854
34210,Villahán,-27.89115646258503,-37.086092715231786,-32.16783216783217,-29.28571428571429,-26.119402985074625
34211,Villaherreros,-33.881578947368425,-29.757785467128027,-20.141342756183743,-21.611721611721613,-21.722846441947567
34213,Villalaco,-37.77777777777778,-40.229885057471265,-31.3953488372093,-29.629629629629626,-22.78481012658228
34214,Villalba de Guardo,-21.428571428571427,-21.39917695473251,-18.69918699186992,-18.548387096774192,-18.29268292682927
34215,Villalcázar de Sirga,-29.795918367346943,-29.707112970711297,-28.57142857142857,-26.582278481012654,-26.27118644067797
34216,Villalcón,-40.19607843137255,-30.681818181818183,-37.634408602150536,-40.44943820224719,-45.45454545454545
34217,Villalobón,478.7671232876712,542.9090909090909,504.63576158940396,422.6256983240224,367.98029556650243
34218,Villaluenga de la Vega,-13.26530612244898,-14.887218045112782,-16.59125188536953,-21.43928035982009,-22.997032640949556
34220,Villamartín de Campos,2.923976608187134,8.720930232558139,7.100591715976331,3.5502958579881656,7.643312101910828
34221,Villamediana,-29.71887550200803,-26.01626016260163,-25.203252032520325,-23.30508474576271,-24.066390041493776
34222,Villameriel,-34.11764705882353,-34.146341463414636,-31.446540880503143,-29.746835443037973,-33.54430379746836
34223,Villamoronta,-32.285714285714285,-28.947368421052634,-29.239766081871345,-23.867069486404834,-26.911314984709477
34224,Villamuera de la Cueza,-44.15584415584416,-50.0,-44.11764705882353,-39.682539682539684,-41.269841269841265
34225,Villamuriel de Cerrato,48.74683835364452,44.06590959697172,39.4923639492364,36.43852978453739,33.19688907081457
34227,Villanueva del Rebollar,-35.3448275862069,-37.03703703703704,-39.25233644859813,-31.683168316831683,-30.927835051546392
34228,Villanuño de Valdavia,-36.231884057971016,-28.68217054263566,-24.8,-29.230769230769234,-25.6
34229,Villaprovedo,-46.36363636363636,-50.943396226415096,-50.495049504950494,-50.476190476190474,-54.0
34230,Villarmentero de Campos,-10.526315789473683,12.5,26.666666666666668,42.857142857142854,86.66666666666667
34231,Villarrabé,-28.027681660899656,-34.91525423728813,-36.734693877551024,-36.23693379790941,-36.462093862815884
34232,Villarramiel,-26.916221033868094,-24.954954954954957,-27.858439201451908,-25.27372262773723,-27.30627306273063
34233,Villasarracino,-54.22077922077923,-52.083333333333336,-55.12367491166078,-49.815498154981555,-49.80988593155893
34234,Villasila de Valdavia,-38.46153846153847,-46.21848739495798,-43.859649122807014,-40.18691588785047,-42.30769230769231
34236,Villaturde,-43.41637010676156,-41.48148148148148,-41.66666666666667,-45.45454545454545,-40.725806451612904
34237,Villaumbrales,-28.79120879120879,-27.120535714285715,-26.55367231638418,-27.42663656884876,-28.55504587155963
34238,Villaviudas,-30.0,-25.732217573221757,-21.69197396963124,-23.890063424947147,-21.29032258064516
34240,Villerías de Campos,-33.82352941176471,-33.33333333333333,-35.43307086614173,-44.274809160305345,-41.08527131782946
34241,Villodre,-64.0,-64.58333333333334,-64.58333333333334,-54.347826086956516,-46.666666666666664
34242,Villodrigo,-17.391304347826086,-18.045112781954884,-24.242424242424242,-17.05426356589147,-20.66115702479339
34243,Villoldo,-30.518234165067177,-35.51587301587302,-31.63265306122449,-32.25806451612903,-29.81366459627329
34245,Villota del Páramo,-32.72727272727273,-32.54817987152035,-32.96943231441048,-33.4061135371179,-32.80898876404494
34246,Villovieco,-46.09929078014184,-49.25373134328358,-46.03174603174603,-46.774193548387096,-47.008547008547005
34901,Osorno la Mayor,-34.4752582925503,-31.799650553290626,-33.19884726224784,-31.6588785046729,-29.585798816568047
34902,Valle del Retortillo,-30.21276595744681,-23.684210526315788,-20.535714285714285,-22.37442922374429,-21.49532710280374
34903,Loma de Ucieza,-46.42857142857143,-42.65129682997118,-43.41317365269461,-43.90243902439025,-38.730158730158735
34904,"Pernía, La",-35.09127789046653,-34.439834024896264,-34.303534303534306,-33.61169102296451,-33.54564755838641
35001,Agaete,-7.332448573324486,-0.2976190476190476,-2.694765935394714,-1.7122683142100619,1.015499732763228
35002,Agüimes,72.93261868300152,66.3040663040663,60.87392765765314,57.75662091629615,54.2348456675344
35003,Antigua,314.81358189081226,253.41443184959914,205.18867924528303,180.50197054552996,141.73365955959454
35004,Arrecife,65.36189651098685,58.1972038263429,50.955459259785464,48.30591841870467,49.66080484752684
35005,Artenara,-14.48,-16.1186848436247,-24.707602339181285,-34.35114503816794,-30.93959731543624
35006,Arucas,28.328678623103066,26.80157946692991,23.076182838813153,20.72999092984706,19.648454305205583
35007,Betancuria,28.040540540540544,23.101777059773827,24.056603773584907,20.53175775480059,21.19402985074627
35008,Firgas,14.2353662273981,14.26615969581749,12.361049355269008,12.547695920164367,11.598200029031789
35009,Gáldar,11.69369701437523,11.224814663210077,10.562556255625562,10.708357633125477,11.085739870158944
35010,Haría,45.08637779665817,41.96877480815031,33.81402287419195,31.087836229469172,29.918319719953324
35011,Ingenio,28.39632696564729,35.712461695607765,33.027828695217465,31.434839129021775,29.757895153940645
35012,Mogán,93.03712252356222,77.23787369690703,65.88609660574413,58.686053593179054,47.85978632777041
35013,Moya,-11.162414867828696,-9.056078021595262,-9.550626364785657,-8.94506001846722,-7.063067256225273
35014,"Oliva, La",282.1161587119034,226.68235294117648,192.70975175447785,175.08980903762526,161.01441631504923
35015,Pájara,262.9215416379904,145.60542309490415,104.80655349388077,64.59800355954499,47.74762458131109
35016,"Palmas de Gran Canaria, Las",6.851669043179408,7.382578883340281,6.77646952702836,5.4415677873914285,4.292759686054768
35017,Puerto del Rosario,114.15133998949028,115.75876490938192,107.85438717974083,103.95788286170912,93.50615571354257
35018,San Bartolomé,90.98660170523752,88.18998716302953,64.03766413268832,46.24114555564019,31.061678463094033
35019,San Bartolomé de Tirajana,50.785768699037895,42.796404929766965,36.683105683079866,34.98585342647538,32.55603184323331
35020,"Aldea de San Nicolás, La",-7.151695124969066,-7.10666172290199,-6.6518023039762175,-6.988847583643122,-7.523277467411546
35021,Santa Brígida,8.65012790766851,6.731610569911918,3.5863549079408115,1.9666170880846143,1.294091951512504
35022,Santa Lucía de Tirajana,82.73980113140777,76.14259378965261,71.2330340123556,68.26833281451505,63.47829774601895
35023,Santa María de Guía de Gran Canaria,5.5881680262255085,2.4143532191376256,-0.42455206159602793,-0.5986316989737742,-0.2751516861859743
35024,Teguise,157.07053273501324,111.9183373183741,102.97381654239639,96.00295469468155,84.79659046881054
35025,Tejeda,-25.195924764890282,-23.721881390593047,-27.100924809006838,-28.109161793372316,-25.28641571194763
35026,Telde,21.635521217220255,22.734166935377928,19.102246707811755,16.31710362047441,14.944185578760349
35027,Teror,11.52783964365256,10.25394886115717,8.692294491161832,7.572701294335182,6.044137022397892
35028,Tías,99.78209191759112,80.34506675914686,66.21728161463261,58.32902415601684,48.60822600747819
35029,Tinajo,67.21704394141145,62.638748738647834,58.42371655820679,54.562085524811344,47.00214132762313
