Mun_Code,Mun,pop_1996_2007 (k=11),pop_1998_2009 (k=11),pop_1999_2010 (k=11),pop_2000_2011 (k=11),pop_2001_2012 (k=11),pop_2002_2013 (k=11),pop_2003_2014 (k=11),pop_2004_2015 (k=11),pop_2005_2016 (k=11),pop_2006_2017 (k=11),pop_2007_2018 (k=11),pop_2008_2019 (k=11),pop_2009_2020 (k=11),pop_2010_2021 (k=11),pop_2011_2022 (k=11),pop_2012_2023 (k=11),pop_2013_2024 (k=11)
6128,Talavera la Real,-2.6853252647503782,3.2034469838890973,3.8062935745242132,4.51382358472823,5.816808309726157,5.575642245480495,6.360491929285166,5.259117082533589,5.596436870642912,4.974639094810769,4.469490866692577,-0.6357516828721017,-3.539662370666183,-3.594118714830278,-5.056685261831924,-5.729073710512226,-4.506128334534967
6129,Táliga,2.3285899094437257,6.515957446808511,3.259452411994785,1.4360313315926894,0.6561679790026247,0.6775067750677507,3.7552155771905427,1.2640449438202246,2.0172910662824206,2.954209748892171,-13.90644753476612,-17.698019801980198,-15.355805243445692,-14.898989898989898,-14.671814671814673,-13.689700130378096,-11.17092866756393
6130,Tamurejo,-10.13986013986014,-10.689655172413794,-8.51063829787234,-6.25,-7.434944237918216,-10.869565217391305,-12.962962962962962,-16.044776119402986,-13.533834586466165,-15.849056603773585,-16.342412451361866,-16.731517509727624,-18.146718146718147,-18.217054263565892,-21.176470588235293,-17.670682730923694,-19.10569105691057
6131,Torre de Miguel Sesmero,-3.3725490196078427,-0.7892659826361484,-1.0204081632653061,-0.9426551453260016,0.0,-0.47095761381475665,2.00160128102482,3.360655737704918,4.39469320066335,6.053067993366501,2.6785714285714284,-0.9508716323296356,-0.8750994431185362,-2.0618556701030926,-2.6169706582077716,-3.453689167974882,-2.1293375394321767
6132,Torremayor,-11.2290008841733,-10.437109723461194,-7.162534435261708,-2.2492970946579196,-0.6660323501427212,-0.4789272030651341,2.359882005899705,4.482071713147411,-0.6862745098039216,-1.2858555885262115,-3.087649402390438,-4.3,-5.47808764940239,-2.571711177052423,-5.560882070949185,-3.256704980842912,-3.368623676612127
6133,Torremejía,7.982151710461081,9.753694581280788,9.211822660098521,9.19315403422983,8.731307284129281,7.986609277857484,7.352941176470589,6.205923836389281,5.260707635009311,3.9377289377289375,3.948576675849403,1.214574898785425,1.3016157989228008,1.4433919711321606,0.13434841021047916,-0.354924578527063,-1.5943312666076175
6134,Trasierra,-1.282051282051282,-1.4265335235378032,-3.6827195467422094,-2.528089887640449,-6.25,-7.242339832869081,-6.6572237960339935,-6.970128022759601,-6.552706552706552,-8.131241084165477,-8.658008658008658,-9.724238026124818,-9.55137481910275,-9.264705882352942,-11.815561959654179,-10.074074074074074,-10.96096096096096
6135,Trujillanos,12.012728719172634,9.346504559270517,6.3056379821958455,7.142857142857142,8.468335787923417,5.583756345177665,8.006042296072508,7.853403141361256,4.035216434336023,2.997076023391813,-0.4971590909090909,-3.479471120389701,-4.378040305767894,-3.070481507327285,-3.711340206185567,-4.887983706720977,-5.082417582417582
6136,Usagre,-6.500235515779557,-7.909604519774012,-6.568300809138505,-7.132599329822882,-7.001448575567359,-8.735521235521237,-7.329070339399902,-7.956240676280457,-9.39830929885629,-10.470941883767534,-10.478589420654911,-10.416666666666668,-10.480572597137014,-10.290371879775853,-9.02061855670103,-9.293873312564902,-8.8841882601798
6137,Valdecaballeros,-14.492753623188406,-17.423728813559322,-17.474402730375427,-14.827828531271962,-15.2327221438646,-15.10115606936416,-13.082706766917292,-11.87888198757764,-12.607674236491778,-12.579113924050633,-13.317191283292978,-14.114832535885165,-12.561576354679804,-10.008271298593879,-11.303630363036303,-11.314475873544092,-10.553191489361701
6138,Valdetorres,-3.104693140794224,-4.519368723098996,-6.2409288824383164,-7.452966714905933,-7.642393655371304,-8.992023205221175,-7.380073800738007,-6.033182503770739,-8.333333333333332,-8.44106463878327,-12.146050670640834,-11.738148984198645,-11.419984973703983,-9.442724458204333,-9.225957779515246,-9.836065573770492,-9.56175298804781
6139,Valencia de las Torres,-19.134396355353076,-21.485714285714288,-20.48054919908467,-19.298245614035086,-19.01323706377858,-17.13933415536375,-11.447368421052632,-12.125340599455042,-13.950276243093922,-15.254237288135593,-18.591549295774648,-19.428571428571427,-21.397379912663755,-25.323741007194243,-25.79710144927536,-25.40861812778603,-28.57142857142857
6140,Valencia del Mombuey,-8.695652173913043,-6.793802145411204,-2.7644230769230766,-0.9791921664626682,-1.726263871763255,-1.5132408575031526,-3.3962264150943398,-4.60772104607721,-4.665825977301387,-6.390977443609022,-8.395989974937343,-5.583756345177665,-7.289002557544758,-11.61928306551298,-11.248454882571075,-9.03387703889586,-8.706786171574905
6141,Valencia del Ventoso,-9.85685071574642,-6.950765411667356,-7.736863880844022,-7.091295116772824,-7.738349722103463,-6.11183355006502,-7.196138657305835,-7.624113475177305,-7.674943566591422,-8.250676284941388,-8.892921960072595,-11.840929401251117,-12.850155624722099,-13.408071748878925,-12.20292504570384,-11.955514365152919,-12.973222530009235
6142,Valverde de Burguillos,-21.23456790123457,-17.435897435897434,-16.363636363636363,-14.933333333333335,-19.321148825065272,-16.397849462365592,-14.929577464788732,-12.42603550295858,-10.429447852760736,-9.937888198757763,-11.912225705329153,-14.420062695924765,-15.217391304347828,-13.664596273291925,-14.420062695924765,-9.385113268608414,-13.183279742765272
6143,Valverde de Leganés,8.124156545209177,10.947930574098798,11.41029058917622,11.468011680382267,11.850092372657693,11.198738170347003,10.75013206550449,9.043523586135,7.909604519774012,6.188431422076282,4.243634548177734,1.8863302302792748,0.2888086642599278,-0.5264417324718832,-0.6430102405334603,-0.684285040113261,-0.28368794326241137
6144,Valverde de Llerena,-17.51412429378531,-17.36111111111111,-16.646989374262102,-16.887816646562122,-17.359413202933986,-16.189290161892902,-16.20253164556962,-17.201540436456998,-15.748031496062993,-16.532258064516128,-17.397260273972602,-18.636995827538247,-20.168067226890756,-19.8300283286119,-18.432510885341074,-17.60355029585799,-15.89895988112927
6145,Valverde de Mérida,3.113879003558719,0.782608695652174,0.7867132867132868,0.17391304347826086,-0.8710801393728222,-0.5272407732864675,-2.122015915119363,-3.723404255319149,-8.721422523285352,-8.951406649616368,-8.541846419327007,-8.181026979982594,-9.663503019844693,-10.147441457068517,-11.197916666666668,-10.54481546572935,-10.777385159010601
