Mun_Code,Mun,pop_1996_2004 (k=8),pop_1998_2006 (k=8),pop_1999_2007 (k=8),pop_2000_2008 (k=8),pop_2001_2009 (k=8),pop_2002_2010 (k=8),pop_2003_2011 (k=8),pop_2004_2012 (k=8),pop_2005_2013 (k=8),pop_2006_2014 (k=8),pop_2007_2015 (k=8),pop_2008_2016 (k=8),pop_2009_2017 (k=8),pop_2010_2018 (k=8),pop_2011_2019 (k=8),pop_2012_2020 (k=8),pop_2013_2021 (k=8),pop_2014_2022 (k=8),pop_2015_2023 (k=8),pop_2016_2024 (k=8)
50091,"Cuerlas, Las",-7.766990291262135,-15.841584158415841,-22.68041237113402,-28.865979381443296,-27.659574468085108,-30.526315789473685,-38.0,-42.10526315789473,-43.47826086956522,-40.0,-33.33333333333333,-36.231884057971016,-35.294117647058826,-40.909090909090914,-33.87096774193548,-25.454545454545453,-19.230769230769234,-23.52941176470588,-18.0,-6.8181818181818175
50092,Chiprana,-9.35960591133005,-15.897435897435896,-18.89763779527559,-20.954907161803714,-22.459893048128343,-25.405405405405407,21.409921671018274,26.358695652173914,37.960339943342774,56.70731707317073,61.165048543689316,62.08053691275168,65.86206896551724,84.05797101449275,12.473118279569892,6.881720430107527,3.285420944558522,0.19455252918287938,6.626506024096386,3.5196687370600417
50093,Chodes,5.343511450381679,15.873015873015872,22.58064516129032,22.31404958677686,31.62393162393162,31.858407079646017,25.64102564102564,6.521739130434782,-8.783783783783784,-7.534246575342466,-13.157894736842104,-15.54054054054054,-27.27272727272727,-24.161073825503358,-29.25170068027211,-29.25170068027211,-25.925925925925924,-28.888888888888886,-28.78787878787879,-18.4
50094,Daroca,-7.708779443254818,0.7362494586401039,-0.8718395815170008,2.58092738407699,3.969669937555754,4.831358249772106,10.195331110052406,6.17169373549884,1.302785265049416,-5.717970765262253,-7.080035180299032,-11.002132196162046,-12.312312312312311,-13.217391304347824,-14.267185473411153,-14.117132867132867,-15.121951219512194,-12.4031007751938,-7.382867960246095,-8.049832295160519
50095,Ejea de los Caballeros,9.003743350627175,13.920184607031356,9.782185919875534,10.597476178212723,8.993145085214767,7.1741951430513495,6.505015693273432,3.506446559826485,1.1687621746059855,0.506404527852249,-1.0687924416888102,-3.7082314588427057,-4.2409555132421675,-4.260839483394834,-3.02207326938634,-1.140861466821886,-0.6009685512573663,1.5056312981624185,2.2740838008833713,3.5789855510549544
50096,Embid de Ariza,31.25,1.5384615384615385,-11.428571428571429,-14.285714285714285,-16.417910447761194,-11.11111111111111,-48.54368932038835,-38.095238095238095,-28.169014084507044,-25.757575757575758,-24.193548387096776,-31.666666666666664,-30.357142857142854,-35.714285714285715,-30.18867924528302,-32.69230769230769,-37.254901960784316,-36.734693877551024,-34.04255319148936,-29.268292682926827
50098,Encinacorba,-15.273775216138327,-14.153846153846153,-15.57632398753894,-10.855263157894738,-17.24137931034483,-25.222551928783382,-18.64951768488746,-18.70748299319728,-18.771331058020476,-15.770609318996415,-18.081180811808117,-24.354243542435423,-25.0,-25.0,-29.64426877470356,-25.523012552301257,-21.84873949579832,-21.27659574468085,-17.56756756756757,-11.219512195121952
50099,Épila,3.3358605003790753,5.683253346804749,7.811311184377377,17.904809871568876,16.720577258024385,17.712450592885375,16.543209876543212,16.06749816581071,13.688760806916425,9.775334608030594,6.916019760056457,-4.912430585219991,-5.926241739501172,-7.618048268625394,-7.076271186440677,-7.880320269700801,-7.731305449936629,-3.1787502721532768,-1.1221122112211221,2.5381850853548964
50100,Erla,-9.50413223140496,-9.394572025052192,-8.438818565400844,-8.583690987124463,-7.894736842105263,-7.675438596491229,-8.764044943820224,-8.67579908675799,-8.391608391608392,-13.594470046082948,-14.516129032258066,-14.553990610328638,-15.714285714285714,-18.052256532066508,-15.763546798029557,-14.75,-9.414758269720101,-4.0,-2.15633423180593,1.9230769230769231
50101,Escatrón,-15.390226112326769,-4.466501240694789,-12.509419743782967,-9.98439937597504,-7.625099285146943,-6.677658697444352,-5.719091673675358,-2.327586206896552,-4.827586206896552,-3.6363636363636362,-6.6322136089577945,-7.365684575389948,-10.060189165950128,-9.363957597173144,-6.244424620874219,-5.825242718446602,1.4492753623188406,3.8634321653189576,8.302583025830259,10.102899906454631
50102,Fabara,-5.233941316415543,-1.4527845036319613,0.40816326530612246,0.8210180623973727,-0.16299918500407498,0.7223113964686998,5.425709515859766,5.02092050209205,8.780903665814153,0.819000819000819,-0.24390243902439024,-3.5830618892508146,-4.326530612244897,-8.207171314741036,-10.926365795724466,-11.633466135458168,-14.106583072100312,-11.616571892770105,-13.202933985330073,-11.570945945945946
50104,Farlete,-5.555555555555555,-3.455723542116631,-3.938730853391685,-3.68763557483731,-5.88235294117647,-3.303964757709251,-3.5476718403547673,-3.167420814479638,-7.223476297968396,-8.94854586129754,-5.694760820045558,-9.00900900900901,-9.49074074074074,-12.072892938496583,-12.873563218390805,-14.485981308411214,-8.02919708029197,-7.616707616707617,-1.4492753623188406,-2.4752475247524752
50105,Fayón,0.7653061224489796,8.928571428571429,11.282051282051283,13.246753246753245,9.895833333333332,4.896907216494846,6.561679790026247,-2.7848101265822782,-5.583756345177665,-18.501170960187356,-18.202764976958523,-18.807339449541285,-17.77251184834123,-13.022113022113022,-6.65024630541872,-1.0416666666666665,2.6881720430107525,14.080459770114942,18.87323943661972,21.468926553672315
