Mun_Code,Mun,pop_1996_2022 (k=26),pop_1998_2024 (k=26)
17047,Castelló d'Empúries,140.39337474120083,130.22903653227334
17048,"Castell d'Aro, Platja d'Aro i s'Agaró",127.1006374348078,124.39066551426102
17049,Celrà,118.19984139571768,126.97959183673468
17050,Cervià de Ter,52.054794520547944,55.05443234836703
17051,Cistella,45.497630331753555,39.33649289099526
17052,Siurana,16.33986928104575,13.924050632911392
17054,Colera,10.90047393364929,-0.4056795131845842
17055,Colomers,-3.7735849056603774,1.4851485148514851
17056,Cornellà del Terri,33.27796234772979,28.356605800214822
17057,Corçà,10.165073848827106,15.495495495495495
17058,Crespià,29.577464788732392,21.951219512195124
17060,Darnius,0.7532956685499058,4.380952380952381
17061,Das,84.13793103448276,78.80794701986756
17062,"Escala, L'",99.77212305355108,75.51329518680578
17063,Espinelves,41.714285714285715,41.11111111111111
17064,Espolla,3.0303030303030303,9.574468085106384
17065,Esponellà,21.03960396039604,11.73469387755102
17066,Figueres,42.015260729257776,45.461309523809526
17067,Flaçà,32.78495887191539,36.30952380952381
17068,Foixà,-9.14826498422713,-7.301587301587302
17069,Fontanals de Cerdanya,41.755319148936174,41.97860962566845
17070,Fontanilles,36.97478991596639,33.33333333333333
17071,Fontcoberta,44.433497536945815,39.68401486988847
17073,Fornells de la Selva,105.8868501529052,99.78448275862068
17074,Fortià,60.41237113402062,62.145748987854255
17075,Garrigàs,43.573667711598745,52.25806451612903
17076,Garrigoles,18.79194630872483,25.850340136054424
17077,Garriguella,38.43843843843844,46.96048632218845
17078,Ger,77.77777777777779,49.696969696969695
17079,Girona,45.46871457719338,48.949316707951795
17080,Gombrèn,-17.012448132780083,-16.595744680851062
17081,Gualta,62.59259259259259,61.77606177606177
17082,Guils de Cerdanya,88.48684210526315,77.4294670846395
17083,Hostalric,49.708804385063374,55.183246073298434
17084,Isòvol,68.25396825396825,60.97560975609756
17085,Jafre,13.529411764705882,14.497041420118343
17086,"Jonquera, La",39.13590604026846,36.86746987951807
17087,Juià,28.957528957528954,33.59375
17088,Lladó,66.06425702811245,68.4959349593496
17089,Llagostera,66.80221811460258,70.85354896675652
17090,Llambilles,63.16964285714286,67.81609195402298
17091,Llanars,18.973214285714285,14.699331848552339
17092,Llançà,27.634660421545664,25.776081424936386
17093,Llers,49.459783913565424,42.955326460481096
17094,Llívia,61.79653679653679,60.0
17095,Lloret de Mar,133.54324097397145,138.32167832167832
17096,"Llosses, Les",-23.79182156133829,-26.296296296296294
17097,Madremanya,65.93406593406593,56.21621621621622
17098,Maià de Montcal,44.375,49.24012158054711
17099,Meranges,58.57142857142858,53.42465753424658
17100,Masarac,19.02834008097166,21.721311475409834
17101,Massanes,68.36734693877551,71.34146341463415
17102,Maçanet de Cabrenys,12.948517940717629,22.929936305732486
17103,Maçanet de la Selva,132.05638982531414,129.32027649769586
17105,Mieres,13.666666666666666,9.748427672955975
17106,Mollet de Peralada,10.382513661202186,19.444444444444446
17107,Molló,9.60960960960961,10.650887573964498
17109,Montagut i Oix,24.25421530479896,24.84394506866417
17110,Mont-ras,11.733333333333333,9.669046073977936
17111,Navata,113.86861313868613,121.56862745098039
17112,Ogassa,-9.387755102040817,-10.2880658436214
17114,Olot,33.60017465977731,40.435537548835185
17115,Ordis,31.802120141342755,39.37282229965157
17116,Osor,-16.895874263261295,-12.916666666666668
17117,Palafrugell,35.21354678379472,38.35117285356411
17118,Palamós,27.431701664442727,29.34119278779473
