Mun_Code,Mun,pop_1996_2012 (k=16),pop_1998_2014 (k=16),pop_1999_2015 (k=16),pop_2000_2016 (k=16),pop_2001_2017 (k=16),pop_2002_2018 (k=16),pop_2003_2019 (k=16),pop_2004_2020 (k=16),pop_2005_2021 (k=16),pop_2006_2022 (k=16),pop_2007_2023 (k=16),pop_2008_2024 (k=16)
41901,Cañada Rosal,12.672176308539946,11.533242876526458,8.86034255599473,10.508701472556895,9.575878064943671,9.35846560846561,9.067017082785808,8.695652173913043,8.492706645056726,8.894618111504995,8.616271620755926,7.4015748031496065
41902,Isla Mayor,-1.2288276320159415,-2.0320502230299025,-2.2712310730743908,-2.410434208353971,-2.5645268034414297,-2.5133155792276964,-1.6506653191847735,-1.2544499067638584,-0.4613018964633521,-0.5346671265953777,-0.31255426289286337,-0.4991394148020655
41903,"Cuervo de Sevilla, El",14.351607801792305,14.373770491803278,12.660360243617985,12.114167635283483,12.770646959678464,11.37214405576352,10.370465324958339,9.320535488759788,6.605166051660516,3.879050716781111,2.67538644470868,2.67404876899517
41904,"Palmar de Troya, El",,,,,,,,,,,,
42001,Abejar,2.2284122562674096,-3.35195530726257,-7.43801652892562,-8.913649025069638,-14.054054054054054,-15.64245810055866,-24.81012658227848,-28.32080200501253,-30.357142857142854,-32.758620689655174,-7.160493827160494,-1.0256410256410255
42003,Adradas,-36.36363636363637,-47.0,-50.48543689320388,-51.02040816326531,-48.93617021276596,-51.64835164835166,-20.689655172413794,-31.3953488372093,-32.926829268292686,-24.050632911392405,-21.794871794871796,-24.675324675324674
42004,Ágreda,-9.769951718261858,-9.267431597528685,-8.4008400840084,-7.730061349693251,-8.049155145929339,-6.554830692761728,-5.983709273182957,-5.878693623639191,-6.529850746268656,-7.129514321295143,-4.94556765163297,-4.4471896232242125
42006,Alconaba,8.571428571428571,13.793103448275861,9.550561797752808,6.70391061452514,7.303370786516854,11.834319526627219,7.317073170731707,2.2857142857142856,14.619883040935672,20.606060606060606,17.159763313609467,13.714285714285715
42007,Alcubilla de Avellaneda,-32.35294117647059,-36.24454148471616,-43.722943722943725,-44.29824561403509,-47.906976744186046,-48.32535885167464,-48.76847290640394,-46.15384615384615,-36.6120218579235,-32.7683615819209,-33.33333333333333,-35.15151515151515
42008,Alcubilla de las Peñas,-28.000000000000004,-31.521739130434785,-45.28301886792453,-41.74757281553398,-39.21568627450981,-39.175257731958766,-35.95505617977528,-36.58536585365854,-29.166666666666668,-19.402985074626866,-12.121212121212121,-16.901408450704224
42009,Aldealafuente,-42.35294117647059,-39.35483870967742,-40.76433121019109,-43.13725490196079,-40.666666666666664,-37.857142857142854,-33.33333333333333,-31.782945736434108,-30.64516129032258,-33.33333333333333,-37.301587301587304,-31.40495867768595
42010,Aldealices,-28.57142857142857,-16.129032258064516,-16.666666666666664,-12.121212121212121,7.142857142857142,17.24137931034483,44.0,45.83333333333333,3.571428571428571,-24.137931034482758,-12.5,-16.666666666666664
42011,Aldealpozo,-15.625,-25.806451612903224,-35.483870967741936,-38.70967741935484,-41.935483870967744,-43.75,-45.16129032258064,-46.42857142857143,-37.03703703703704,-30.76923076923077,-20.0,-40.0
42012,Aldealseñor,-12.244897959183673,-10.204081632653061,-16.3265306122449,-25.49019607843137,-36.734693877551024,-34.78260869565217,-29.545454545454547,-36.95652173913043,-25.581395348837212,-37.2093023255814,-41.86046511627907,-30.0
42013,Aldehuela de Periáñez,6.382978723404255,50.0,57.692307692307686,-13.953488372093023,-9.75609756097561,-18.181818181818183,-18.0,-39.62264150943396,-31.25,-28.57142857142857,-33.33333333333333,-43.39622641509434
42014,"Aldehuelas, Las",-36.84210526315789,-38.01652892561984,-42.857142857142854,-43.333333333333336,-42.47787610619469,-41.81818181818181,-37.86407766990291,-42.30769230769231,-42.857142857142854,-43.13725490196079,-38.38383838383838,-38.775510204081634
