Mun_Code,Mun,pop_1996_2001 (k=5),pop_1998_2003 (k=5),pop_1999_2004 (k=5),pop_2000_2005 (k=5),pop_2001_2006 (k=5),pop_2002_2007 (k=5),pop_2003_2008 (k=5),pop_2004_2009 (k=5),pop_2005_2010 (k=5),pop_2006_2011 (k=5),pop_2007_2012 (k=5),pop_2008_2013 (k=5),pop_2009_2014 (k=5),pop_2010_2015 (k=5),pop_2011_2016 (k=5),pop_2012_2017 (k=5),pop_2013_2018 (k=5),pop_2014_2019 (k=5),pop_2015_2020 (k=5),pop_2016_2021 (k=5),pop_2017_2022 (k=5),pop_2018_2023 (k=5),pop_2019_2024 (k=5)
16155,"Peral, El",-0.13736263736263737,-0.41551246537396125,-0.8152173913043478,1.7808219178082192,0.2751031636863824,1.2295081967213115,8.6230876216968,10.41095890410959,10.632570659488561,17.832647462277095,11.06612685560054,1.9206145966709345,-6.699751861042183,-15.693430656934307,-26.193247962747378,-23.693803159173754,-23.241206030150753,-15.957446808510639,-7.6479076479076475,-0.15772870662460567,3.5031847133757963,7.037643207855974,2.5316455696202533
16156,"Peraleja, La",-2.484472049689441,-3.9215686274509802,-19.186046511627907,-23.391812865497073,-8.280254777070063,-3.3557046979865772,-8.843537414965986,-3.597122302158273,-3.0534351145038165,-1.3888888888888888,-4.166666666666666,-14.925373134328357,-17.16417910447761,-14.173228346456693,-26.76056338028169,-31.15942028985507,-15.789473684210526,-12.612612612612612,-20.18348623853211,-10.576923076923077,2.1052631578947367,-12.5,-22.68041237113402
16157,"Pesquera, La",-2.5,1.1111111111111112,-2.5454545454545454,-5.319148936170213,-9.89010989010989,-6.95970695970696,-6.95970695970696,-6.343283582089552,-9.363295880149813,5.691056910569105,-1.968503937007874,-3.149606299212598,0.398406374501992,2.479338842975207,-9.230769230769232,-9.63855421686747,-12.601626016260163,-14.682539682539684,-18.548387096774192,-11.440677966101696,-5.777777777777778,1.8604651162790697,8.837209302325581
16158,"Picazo, El",-3.7991858887381276,-0.41551246537396125,2.380952380952381,7.6163610719323,7.6163610719323,7.083333333333333,13.490959666203059,8.071135430916552,1.0484927916120577,-1.9659239842726082,-3.372243839169909,-12.867647058823529,-10.506329113924052,-7.911802853437094,-8.02139037433155,-9.798657718120806,-4.50070323488045,-5.799151343705799,-5.211267605633803,-4.069767441860465,0.2976190476190476,1.6200294550810017,5.7057057057057055
16159,Pinarejo,-16.93877551020408,-11.82033096926714,-11.951219512195122,-12.95843520782396,-13.267813267813267,-6.718346253229974,-7.506702412868632,-11.634349030470915,-14.04494382022472,6.232294617563739,-20.498614958448755,-30.72463768115942,-25.07836990595611,-22.22222222222222,-36.53333333333333,-20.905923344947734,-10.87866108786611,-11.297071129707113,-14.705882352941178,-19.747899159663866,-16.740088105726873,-10.7981220657277,-14.622641509433961
16160,Pineda de Gigüela,-14.035087719298245,-11.949685534591195,-12.179487179487179,-18.0,-20.408163265306122,-25.179856115107913,-30.0,-35.03649635036496,-30.89430894308943,-30.76923076923077,-27.884615384615387,-23.46938775510204,-17.97752808988764,-18.823529411764707,-24.691358024691358,-18.666666666666668,-21.333333333333336,-17.80821917808219,-15.942028985507244,0.0,1.639344262295082,1.694915254237288,-8.333333333333332
16161,Piqueras del Castillo,-12.222222222222221,-1.2345679012345678,1.2345679012345678,-2.4691358024691357,-5.063291139240507,-6.41025641025641,-10.0,-17.073170731707318,-7.59493670886076,8.0,-8.21917808219178,-15.277777777777779,-10.294117647058822,-21.91780821917808,-24.691358024691358,-17.91044776119403,-13.114754098360656,-21.311475409836063,-15.789473684210526,-26.229508196721312,-16.363636363636363,-13.20754716981132,-16.666666666666664
16162,Portalrubio de Guadamejud,-15.238095238095239,-26.595744680851062,-26.373626373626376,-31.11111111111111,-47.19101123595505,-39.08045977011494,-28.985507246376812,-34.32835820895522,-35.483870967741936,12.76595744680851,-9.433962264150944,-10.204081632653061,-6.8181818181818175,-25.0,-47.16981132075472,-45.83333333333333,-38.63636363636363,-46.34146341463415,0.0,25.0,19.230769230769234,33.33333333333333,90.9090909090909
16163,Portilla,2.0,6.451612903225806,11.11111111111111,-1.0752688172043012,-8.823529411764707,-7.291666666666667,-15.151515151515152,-18.0,-11.956521739130435,-18.27956989247312,-12.359550561797752,-14.285714285714285,-9.75609756097561,-8.641975308641975,-2.631578947368421,-11.538461538461538,-11.11111111111111,-20.27027027027027,-17.56756756756757,-21.62162162162162,-15.942028985507244,-12.5,3.389830508474576
16165,Poyatos,-8.403361344537815,-10.344827586206897,-14.634146341463413,-17.391304347826086,-13.761467889908257,12.844036697247708,2.8846153846153846,-4.761904761904762,-2.1052631578947367,-4.25531914893617,-30.89430894308943,-29.906542056074763,-31.0,-27.956989247311824,-30.0,-27.058823529411764,-20.0,-18.84057971014493,-20.8955223880597,-7.936507936507936,-6.451612903225806,23.333333333333332,26.785714285714285
