Mun_Code,Mun,pop_1996_2020 (k=24),pop_1998_2022 (k=24),pop_1999_2023 (k=24),pop_2000_2024 (k=24)
44109,Frías de Albarracín,-42.22222222222222,-41.340782122905026,-33.92857142857143,-28.662420382165603
44110,Fuenferrada,-26.53061224489796,-30.0,-22.916666666666664,-25.53191489361702
44111,Fuentes Calientes,-36.36363636363637,-37.32394366197183,-40.87591240875913,-36.434108527131784
44112,Fuentes Claras,-35.41364296081277,-34.73684210526316,-33.6890243902439,-33.07692307692307
44113,Fuentes de Rubielos,49.39759036144578,86.04651162790698,79.7872340425532,77.27272727272727
44114,Fuentespalda,-25.593667546174142,-19.726027397260275,-20.66115702479339,-19.047619047619047
44115,Galve,11.11111111111111,5.633802816901409,0.0,-0.6896551724137931
44116,Gargallo,-24.21875,-25.190839694656486,-26.01626016260163,-28.09917355371901
44117,Gea de Albarracín,-26.44135188866799,-8.24524312896406,-1.9522776572668112,3.090507726269316
44118,"Ginebrosa, La",-28.363636363636363,-23.66412213740458,-23.809523809523807,-21.285140562248998
44119,Griegos,-10.967741935483872,-2.097902097902098,0.0,2.898550724637681
44120,Guadalaviar,-17.845117845117844,-13.541666666666666,-17.123287671232877,-17.421602787456447
44121,Gúdar,-7.228915662650602,-3.9473684210526314,-12.5,-1.3513513513513513
44122,Híjar,-11.144883485309018,-10.159055926115956,-6.842923794712286,-7.417148869016307
44123,Hinojosa de Jarque,-39.784946236559136,-42.07650273224044,-42.22222222222222,-44.06779661016949
44124,"Hoz de la Vieja, La",-41.726618705035975,-35.25179856115108,-37.410071942446045,-29.268292682926827
44125,Huesa del Común,-50.0,-47.794117647058826,-53.956834532374096,-57.77777777777777
44126,"Iglesuela del Cid, La",-19.9203187250996,-18.72427983539095,-23.446893787575153,-24.448897795591183
44127,Jabaloyas,-41.584158415841586,-30.851063829787233,-19.565217391304348,-29.213483146067414
44128,Jarque de la Val,-41.509433962264154,-45.09803921568628,-36.0,-34.73684210526316
44129,Jatiel,-45.83333333333333,-34.285714285714285,-35.2112676056338,-26.865671641791046
44130,Jorcas,-46.2962962962963,-30.76923076923077,-8.51063829787234,-18.75
44131,Josa,-27.659574468085108,-6.666666666666667,-9.75609756097561,-10.256410256410255
44132,Lagueruela,-5.47945205479452,1.4285714285714286,2.857142857142857,2.898550724637681
44133,Lanzuela,-31.25,-16.666666666666664,-6.666666666666667,-20.0
44135,Libros,-45.05494505494506,-38.55421686746988,-36.875,-36.64596273291926
44136,Lidón,-36.470588235294116,-36.144578313253014,-37.03703703703704,-29.11392405063291
44137,Linares de Mora,-29.02208201892745,-23.452768729641694,-23.178807947019866,-20.74829931972789
44138,Loscos,-43.946188340807176,-44.85981308411215,-47.27272727272727,-48.38709677419355
44141,Lledó,-28.57142857142857,-18.571428571428573,-16.176470588235293,-23.88059701492537
44142,Maicas,24.0,24.0,3.225806451612903,0.0
44143,Manzanera,5.95482546201232,10.81081081081081,13.924050632911392,15.417558886509635
44144,Martín del Río,-25.28957528957529,-24.236252545824847,-25.101214574898783,-25.252525252525253
44145,Mas de las Matas,-15.171948752528658,-15.087956698240864,-16.587997302764666,-17.6747311827957
44146,"Mata de los Olmos, La",-7.11743772241993,-2.1739130434782608,3.308823529411765,1.4981273408239701
44147,Mazaleón,-15.953947368421053,-18.833333333333332,-19.50413223140496,-19.966722129783694
44148,Mezquita de Jarque,-38.19444444444444,-41.25874125874126,-40.14598540145985,-39.097744360902254
44149,Mirambel,-19.444444444444446,-23.972602739726025,-27.083333333333332,-26.71232876712329
44150,Miravete de la Sierra,-24.0,-47.05882352941176,-42.857142857142854,-34.69387755102041
44151,Molinos,-38.16155988857939,-33.62573099415205,-32.83582089552239,-30.69908814589666
44152,Monforte de Moyuela,-16.470588235294116,-10.714285714285714,31.746031746031743,22.950819672131146
44153,Monreal del Campo,7.895878524945769,8.604954367666231,7.24762726488352,9.9524015577672
44154,Monroyo,-15.521628498727736,-18.11023622047244,-16.445623342175068,-14.917127071823206
44155,Montalbán,-25.359712230215827,-24.153074027603513,-25.83280955373979,-26.637279596977333
44156,Monteagudo del Castillo,-27.941176470588236,-37.68115942028986,-36.76470588235294,-36.76470588235294
44157,Monterde de Albarracín,-26.31578947368421,-25.675675675675674,-22.22222222222222,-13.432835820895523
44158,Mora de Rubielos,12.332838038632987,13.860667634252541,15.294117647058824,18.016046681254558
44159,Moscardón,14.583333333333334,-7.142857142857142,1.8181818181818181,10.909090909090908
44160,Mosqueruela,-26.00834492350487,-20.719424460431654,-22.254335260115607,-21.5007215007215
44161,Muniesa,-22.883597883597883,-23.355704697986575,-24.370860927152318,-22.388059701492537
44163,Noguera de Albarracín,-24.043715846994534,-25.405405405405407,-27.624309392265197,-26.136363636363637
44164,Nogueras,-8.695652173913043,22.727272727272727,52.38095238095239,60.0
44165,Nogueruelas,-6.25,-2.843601895734597,-12.32876712328767,-13.452914798206278
44167,Obón,-43.333333333333336,-35.18518518518518,-35.18518518518518,-40.38461538461539
44168,Odón,-25.092250922509223,-19.245283018867926,-23.04832713754647,-27.30627306273063
44169,Ojos Negros,-44.189852700491,-44.122657580919935,-42.80762564991335,-41.740674955595026
44171,Olba,5.909090909090909,34.34343434343434,40.909090909090914,50.76923076923077
44172,Oliete,-31.262525050100198,-32.6530612244898,-27.139874739039666,-22.899159663865547
44173,"Olmos, Los",-23.376623376623375,-21.052631578947366,-20.666666666666668,-17.6056338028169
44174,Orihuela del Tremedal,-27.419354838709676,-25.816993464052292,-25.85924713584288,-27.070063694267514
44175,Orrios,-38.75598086124402,-36.597938144329895,-37.755102040816325,-37.696335078534034
44176,Palomar de Arroyos,-37.95620437956204,-34.84848484848485,-36.015325670498086,-37.254901960784316
44177,Pancrudo,-41.089108910891085,-32.78688524590164,-35.59322033898305,-32.33532934131736
44178,"Parras de Castellote, Las",-49.54128440366973,-36.17021276595745,-32.22222222222222,-25.0
44179,Peñarroya de Tastavins,-19.202898550724637,-16.356877323420075,-17.657992565055764,-11.708253358925145
44180,Peracense,-34.74576271186441,-33.33333333333333,-35.8974358974359,-31.48148148148148
44181,Peralejos,-17.82178217821782,-11.458333333333332,-8.51063829787234,-4.301075268817205
44182,Perales del Alfambra,-19.727891156462583,-11.705685618729097,-11.11111111111111,-8.135593220338983
44183,Pitarque,-40.35087719298245,-38.93805309734513,-42.47787610619469,-44.03669724770643
44184,Plou,-7.4074074074074066,-9.615384615384617,-3.9215686274509802,-2.127659574468085
44185,"Pobo, El",-30.32258064516129,-32.05128205128205,-32.0,-32.87671232876712
44187,"Portellada, La",-30.994152046783626,-28.04878048780488,-24.610591900311526,-22.756410256410255
44189,Pozondón,-51.13636363636363,-43.529411764705884,-35.714285714285715,-34.93975903614458
44190,Pozuel del Campo,-45.689655172413794,-46.902654867256636,-41.5929203539823,-42.608695652173914
44191,"Puebla de Híjar, La",-21.48471615720524,-18.173679498657116,-17.013574660633484,-14.23324150596878
44192,"Puebla de Valverde, La",-5.2521008403361344,-8.19672131147541,-4.081632653061225,-4.9079754601226995
