Mun_Code,Mun,pop_1996_2014 (k=18),pop_1998_2016 (k=18),pop_1999_2017 (k=18),pop_2000_2018 (k=18),pop_2001_2019 (k=18),pop_2002_2020 (k=18),pop_2003_2021 (k=18),pop_2004_2022 (k=18),pop_2005_2023 (k=18),pop_2006_2024 (k=18)
15025,Cerdido,-29.355203619909503,-30.228471001757466,-30.851063829787233,-32.49400479616307,-32.05128205128205,-32.85978999382335,-32.34738829452486,-31.964056482670088,-32.1287779237845,-32.887700534759354
15027,Coirós,11.629392971246007,15.19639407598197,16.268560361523562,17.525773195876287,17.223650385604113,17.501585288522513,16.916354556803995,15.93939393939394,16.26360338573156,16.74727932285369
15028,Corcubión,-17.022332506203476,-17.598768599281684,-17.47019180922758,-18.868894601542415,-20.589705147426287,-20.579420579420578,-19.57936905358037,-14.969450101832994,-14.530358069538144,-12.238493723849372
15029,Coristanco,-20.318441064638783,-22.014563106796118,-23.180822584570453,-24.17137245273754,-24.993825635959496,-25.634295713035872,-25.216284987277355,-25.21571152607856,-24.417996337954488,-24.24162490108151
15030,"Coruña, A",0.42045244785364155,0.3471336793702238,0.2863575484178438,1.2743569274803634,2.62159927161556,2.1224294516988507,0.6420611557100803,0.7634467934411108,1.6548249633242793,2.4416406378431694
15031,Culleredo,58.99097931183492,58.12836792402497,50.91357527558262,44.6673049305888,37.71516579090415,34.90877115849637,28.958953502997776,24.959415584415584,20.327485380116958,17.094210268580255
15032,Curtis,-12.418866291648637,-12.00530621269069,-10.711071107110712,-11.414503133393017,-10.13086642599278,-8.941810829027185,-8.04416403785489,-7.170323456231621,-5.355916685740444,-2.472591555866573
15033,Dodro,-14.424206815511164,-13.884696649562331,-14.077669902912621,-14.908536585365853,-14.646931853222325,-14.410208527855586,-15.550015581177936,-15.401644528779254,-14.830237027546445,-15.127955944282476
15034,Dumbría,-36.34334415584416,-35.120925341745526,-33.788765994361306,-32.87701479355266,-33.53386809269162,-33.71725383920506,-32.04086371023915,-30.172827652424388,-29.776247848537007,-30.075566750629722
15035,Fene,-10.073284477015324,-11.14538626609442,-11.865546218487395,-12.358566810344827,-11.8856364874064,-12.091815821833583,-11.68616655196146,-12.309285467725232,-12.497387669801462,-12.658580789070124
15036,Ferrol,-15.242992004623831,-17.25056936570238,-17.589735458769866,-17.79090517506615,-17.77539920594422,-17.55533199195171,-17.747955918947742,-17.597194929295267,-17.19266411768518,-15.943925967617378
