Mun_Code,Mun,pop_1996_2018 (k=22),pop_1998_2020 (k=22),pop_1999_2021 (k=22),pop_2000_2022 (k=22),pop_2001_2023 (k=22),pop_2002_2024 (k=22)
2042,Letur,-33.04473304473304,-35.68853640951694,-33.64963503649635,-31.586940015186027,-26.90794649881983,-28.249027237354085
2043,Lezuza,-24.063009234111895,-26.164079822616408,-26.268823201338538,-26.220204313280366,-25.50490478938257,-24.653579676674365
2044,Liétor,-31.74061433447099,-31.750741839762615,-32.995226730310264,-32.96636085626911,-33.70165745856354,-33.769470404984425
2045,Madrigueras,3.3680478617327716,2.909171663335554,2.6014109347442678,2.743362831858407,3.4978968341819794,2.7802294792586055
2046,Mahora,-2.720114531138153,0.6651884700665188,1.0248901903367496,6.083086053412463,9.793814432989691,7.799852832965416
2047,Masegoso,-37.22222222222222,-38.095238095238095,-36.74698795180723,-28.749999999999996,-7.9470198675496695,-20.54794520547945
2048,Minaya,-13.261851015801355,-17.366946778711483,-17.104527669088874,-18.253968253968253,-18.233618233618234,-20.333141872487076
2049,Molinicos,-41.82825484764543,-41.80386542591267,-39.62126729788783,-37.16216216216216,-36.024844720496894,-36.282467532467535
2050,Montalvos,-37.254901960784316,-39.310344827586206,-42.281879194630875,-38.46153846153847,-36.87943262411347,-44.89795918367347
2051,Montealegre del Castillo,-5.155596841616349,-3.4988179669030735,-4.9440298507462686,-4.814814814814815,-8.806437192668753,-10.692375109553023
2052,Motilleja,1.2939001848428837,13.333333333333334,18.395303326810176,29.92125984251969,30.118110236220474,30.724070450097845
2053,Munera,-15.714971209213052,-15.72868026542148,-15.526574803149607,-15.107913669064748,-15.388433854554481,-16.027702201335643
2054,Navas de Jorquera,-4.074074074074074,-2.6168224299065423,-0.7407407407407408,-3.1192660550458715,-3.7037037037037033,-2.2018348623853212
2055,Nerpio,-36.61825726141078,-34.263392857142854,-32.94117647058823,-33.068633011911515,-32.06018518518518,-32.03309692671395
2056,Ontur,-17.861482381530987,-18.616144975288304,-19.25133689839572,-19.950331125827812,-22.393509127789045,-22.19020172910663
2057,Ossa de Montiel,-18.219749652294855,-18.9247311827957,-19.706198495163026,-20.151405912040374,-19.818511796733212,-19.681043856469735
2058,Paterna del Madera,-42.21508828250401,-43.56775300171527,-42.11469534050179,-38.847583643122675,-34.87940630797773,-35.79545454545455
2059,Peñascosa,-26.769911504424783,-20.334928229665074,-22.518159806295397,-19.45137157107232,-18.36228287841191,-22.090261282660332
2060,Peñas de San Pedro,10.764430577223088,12.057877813504824,15.196078431372548,16.504065040650406,19.48802642444261,23.400673400673398
2061,Pétrola,-28.907048008171603,-26.537216828478964,-26.120218579234972,-29.242262540021347,-27.044711014176663,-24.173318129988598
2062,Povedilla,-40.13422818791946,-43.828016643550626,-44.22809457579972,-46.03616133518776,-43.69627507163324,-41.66666666666667
2063,Pozohondo,-14.442700156985872,-13.98488120950324,-14.239306984298864,-15.645161290322582,-16.56804733727811,-15.735214324470972
2064,Pozo-Lorente,-25.74074074074074,-24.304267161410017,-28.233151183970858,-25.38167938931298,-21.285140562248998,-20.24793388429752
2065,Pozuelo,-28.50877192982456,-30.415430267062316,-34.87394957983193,-34.88700564971751,-30.576070901033976,-30.505952380952383
2066,"Recueja, La",-29.6398891966759,-34.0,-34.971098265895954,-35.0,-34.226190476190474,-33.03030303030303
2067,Riópar,-5.5013927576601676,-5.563380281690141,-9.979633401221996,-12.772998014559894,-12.127236580516898,-9.679572763684913
2068,Robledo,-20.915032679738562,-12.761020881670534,-9.069767441860465,-6.779661016949152,-7.511737089201878,-10.681818181818182
2069,"Roda, La",14.730459217629225,14.31200765662961,13.018272547149042,13.522818841110542,12.68034510258827,10.654285106684625
2070,Salobre,-22.204968944099377,-24.437299035369776,-25.40453074433657,-27.483443708609272,-25.894378194207835,-26.455906821963392
2071,San Pedro,-13.697604790419163,-11.689291101055806,-14.071856287425149,-15.029761904761903,-10.986547085201794,-10.159211523881728
2072,Socovos,-15.004748338081672,-12.5,-14.004914004914005,-13.75556655121227,-14.877683474787817,-16.314199395770395
2073,Tarazona de la Mancha,4.66867469879518,2.945091514143095,2.860944777112442,1.7945340796838984,-0.6635377892862923,-3.0279010779961957
2074,Tobarra,5.364923747276689,3.6852723604572963,2.9722854465122506,3.6472945891783572,4.333911188158421,4.059185544061805
2075,Valdeganga,-3.90702274975272,1.2207527975584944,-1.7163048965169108,-2.3906408952187186,0.7231404958677686,1.2913223140495869
2076,Vianos,-28.57142857142857,-32.719836400818,-35.11904761904761,-38.01980198019802,-35.08064516129033,-34.15637860082305
2077,Villa de Ves,-16.176470588235293,0.0,-10.144927536231885,-11.76470588235294,-7.575757575757576,-12.698412698412698
