Mun_Code,Mun,pop_1996_2002 (k=6),pop_1998_2004 (k=6),pop_1999_2005 (k=6),pop_2000_2006 (k=6),pop_2001_2007 (k=6),pop_2002_2008 (k=6),pop_2003_2009 (k=6),pop_2004_2010 (k=6),pop_2005_2011 (k=6),pop_2006_2012 (k=6),pop_2007_2013 (k=6),pop_2008_2014 (k=6),pop_2009_2015 (k=6),pop_2010_2016 (k=6),pop_2011_2017 (k=6),pop_2012_2018 (k=6),pop_2013_2019 (k=6),pop_2014_2020 (k=6),pop_2015_2021 (k=6),pop_2016_2022 (k=6),pop_2017_2023 (k=6),pop_2018_2024 (k=6)
37307,Serradilla del Llano,-18.79194630872483,-19.855595667870034,-17.735849056603772,-19.62962962962963,-17.269076305220885,-18.181818181818183,-19.823788546255507,-17.56756756756757,-15.59633027522936,-16.129032258064516,-16.019417475728158,-14.646464646464647,-6.043956043956044,-6.0109289617486334,-9.239130434782608,-15.384615384615385,-10.404624277456648,-9.467455621301776,-14.035087719298245,-16.27906976744186,-13.17365269461078,-10.38961038961039
37309,"Sierpe, La",-14.035087719298245,-15.517241379310345,0.0,2.0,-2.0,-2.0408163265306123,0.0,-10.204081632653061,-18.867924528301888,-9.803921568627452,-8.16326530612245,4.166666666666666,2.0408163265306123,9.090909090909092,6.976744186046512,-4.3478260869565215,-11.11111111111111,-20.0,-18.0,-14.583333333333334,-10.869565217391305,-4.545454545454546
37310,Sieteiglesias de Tormes,-0.5524861878453038,-6.741573033707865,-15.957446808510639,-8.695652173913043,-3.278688524590164,2.7777777777777777,4.093567251461988,10.240963855421686,14.556962025316455,4.166666666666666,0.5649717514124294,10.81081081081081,20.224719101123593,11.475409836065573,5.524861878453039,6.857142857142858,5.056179775280898,-5.853658536585367,-14.018691588785046,-9.803921568627452,-8.37696335078534,-12.299465240641712
37311,Sobradillo,-9.67741935483871,-10.962566844919785,-9.47075208913649,-14.893617021276595,-19.293478260869566,-21.428571428571427,-17.681159420289855,-16.216216216216218,-15.076923076923077,-16.875,-14.14141414141414,-9.79020979020979,-14.43661971830986,-13.261648745519713,-15.217391304347828,-12.781954887218044,-14.117647058823529,-21.31782945736434,-19.34156378600823,-20.24793388429752,-22.22222222222222,-25.43103448275862
37312,Sorihuela,-9.245742092457421,-8.184143222506394,-6.527415143603134,-3.0054644808743167,-6.648936170212766,-2.4128686327077746,-3.6312849162011176,-7.520891364902507,-8.379888268156424,-12.112676056338028,-16.524216524216524,-23.076923076923077,-21.73913043478261,-20.783132530120483,-16.76829268292683,-12.5,-10.921501706484642,-9.642857142857144,-4.444444444444445,-1.520912547528517,-6.227106227106227,-6.227106227106227
37313,Sotoserrano,0.27932960893854747,-3.523035230352303,-6.2246278755074425,-8.005427408412483,-7.7994428969359335,-7.520891364902507,-5.091937765205092,-6.741573033707865,-5.483405483405483,-3.8348082595870205,-2.56797583081571,-5.72289156626506,-9.687034277198212,-10.240963855421686,-9.923664122137405,-11.042944785276074,-11.162790697674419,-11.022364217252397,-8.745874587458747,-8.89261744966443,-11.016949152542372,-11.551724137931034
37314,Tabera de Abajo,-10.0,-8.695652173913043,-6.306306306306306,-9.90990990990991,2.727272727272727,-4.62962962962963,5.660377358490567,4.761904761904762,-3.8461538461538463,-1.0,-13.274336283185843,6.796116504854369,2.6785714285714284,0.9090909090909091,6.0,8.080808080808081,8.16326530612245,-6.363636363636363,-5.217391304347826,-5.405405405405405,-3.7735849056603774,-7.476635514018691
37315,"Tala, La",-9.271523178807946,-15.862068965517242,-17.142857142857142,-20.56737588652482,-20.97902097902098,-12.408759124087592,-10.0,-4.918032786885246,-8.620689655172415,-10.714285714285714,-12.389380530973451,-18.333333333333332,-17.94871794871795,-17.24137931034483,-11.320754716981133,-12.0,-15.151515151515152,-14.285714285714285,-16.666666666666664,-18.75,-17.02127659574468,-13.636363636363635
37316,Tamames,-9.497206703910614,-4.615384615384616,-2.5742574257425743,-2.0100502512562812,-3.4000000000000004,1.02880658436214,-2.3928215353938187,-2.1169354838709675,-3.9634146341463414,-5.846153846153846,-8.385093167701864,-12.830957230142568,-14.402451481103167,-14.933058702368692,-14.814814814814813,-12.418300653594772,-11.751412429378531,-8.411214953271028,-6.563245823389022,-1.8159806295399514,-1.6149068322981366,-2.36318407960199
37317,Tarazona de Guareña,-7.111111111111111,-7.551487414187644,-8.120649651972158,-8.986175115207374,-11.502347417840376,-10.047846889952153,-10.436893203883495,-8.415841584158416,-8.83838383838384,-10.379746835443038,-7.427055702917771,-7.446808510638298,-9.48509485094851,-10.81081081081081,-9.97229916897507,-10.451977401129943,-12.607449856733524,-13.218390804597702,-13.77245508982036,-16.666666666666664,-16.307692307692307,-15.141955835962145
