Mun_Code,Mun,pop_1996_2021 (k=25),pop_1998_2023 (k=25),pop_1999_2024 (k=25)
17012,Avinyonet de Puigventós,250.31712473572938,213.03538175046555,232.14990138067063
17013,Begur,32.90556103981573,32.62032085561498,29.105839416058394
17014,"Vajol, La",4.761904761904762,44.11764705882353,-1.0309278350515463
17015,Banyoles,40.10420284821119,39.04258204502305,37.46413079746413
17016,Bàscara,31.818181818181817,36.11825192802057,31.63138231631382
17018,Bellcaire d'Empordà,43.53182751540041,45.41832669322709,42.82945736434108
17019,Besalú,23.190546528803544,26.46911099949774,30.257186081694403
17020,Bescanó,71.51515151515152,69.04995102840353,62.74137385248496
17021,Beuda,55.833333333333336,63.07692307692307,59.375
17022,"Bisbal d'Empordà, La",39.75271637317348,40.40952263476008,42.78904913224151
17023,Blanes,45.32529859632663,44.498022618469435,42.48860374810062
17024,Bolvir,99.59183673469387,104.8582995951417,88.25757575757575
17025,Bordils,37.203972498090145,29.43722943722944,27.401129943502823
17026,Borrassà,49.50298210735586,62.985685071574636,49.22779922779923
17027,Breda,18.285538082022818,19.79102642901045,18.195488721804512
17028,Brunyola i Sant Martí Sapresa,3.723404255319149,-1.728395061728395,0.0
17029,Boadella i les Escaules,23.18181818181818,15.418502202643172,15.555555555555555
17030,Cabanes,22.207792207792206,20.178799489144318,25.868725868725868
17031,Cabanelles,17.180616740088105,25.454545454545453,22.17391304347826
17032,Cadaqués,52.26781857451404,55.05857294994675,27.982456140350877
17033,Caldes de Malavella,123.76320177876599,124.36034115138592,120.04137574347038
17034,Calonge i Sant Antoni,96.91358024691358,93.43077417282363,84.84166291460303
17035,Camós,14.492753623188406,16.34304207119741,12.678288431061807
17036,Campdevànol,-3.6450552733791457,-3.8898862956313582,-2.597790385189609
17037,Campelles,17.322834645669293,33.33333333333333,41.02564102564102
17038,Campllong,90.35714285714286,82.5938566552901,74.91961414790997
17039,Camprodon,5.50259965337955,6.100682593856655,7.531914893617022
17040,Canet d'Adri,48.9065606361829,44.3159922928709,42.5287356321839
17041,Cantallops,15.09433962264151,26.459143968871597,31.060606060606062
17042,Capmany,56.852791878172596,68.26196473551637,70.27027027027027
17043,Queralbs,-0.5208333333333333,-1.5,4.568527918781726
17044,Cassà de la Selva,41.42434033387183,45.547347212894564,44.30963998417513
17046,Castellfollit de la Roca,-6.6600397614314115,-4.077471967380224,-1.1363636363636365
17047,Castelló d'Empúries,130.93167701863354,122.05186447094454,109.12998624484183
17048,"Castell d'Aro, Platja d'Aro i s'Agaró",121.26714313308867,117.21694036300778,109.87873888439775
17049,Celrà,122.28390166534497,123.91836734693878,110.64393939393939
17050,Cervià de Ter,48.09741248097412,56.60964230171073,59.77564102564102
17051,Cistella,33.649289099526065,41.23222748815166,31.838565022421523
17052,Siurana,16.99346405228758,17.72151898734177,16.129032258064516
17054,Colera,9.47867298578199,-2.839756592292089,-15.49053356282272
17055,Colomers,-11.320754716981133,2.4752475247524752,0.49019607843137253
17056,Cornellà del Terri,34.10852713178294,28.947368421052634,26.52196929592377
17057,Corçà,10.773240660295395,16.666666666666664,14.260249554367203
17058,Crespià,26.76056338028169,18.048780487804876,28.865979381443296
17060,Darnius,1.694915254237288,4.0,6.407766990291262
17061,Das,71.03448275862068,70.19867549668875,74.19354838709677
17062,"Escala, L'",99.33535890619065,76.33793335577246,75.9871751603105
17063,Espinelves,36.57142857142857,37.77777777777778,35.1063829787234
17064,Espolla,4.040404040404041,8.77659574468085,10.75268817204301
17065,Esponellà,16.08910891089109,19.132653061224488,10.050251256281408
17066,Figueres,41.87954278131315,42.49702380952381,44.50226177453212
17067,Flaçà,34.78260869565217,37.5,35.66350710900474
17068,Foixà,-5.678233438485805,-7.301587301587302,-7.886435331230284
17069,Fontanals de Cerdanya,34.57446808510639,42.513368983957214,32.75
17070,Fontanilles,31.932773109243694,34.92063492063492,35.483870967741936
17071,Fontcoberta,44.63054187192118,33.7360594795539,39.55431754874652
17073,Fornells de la Selva,106.42201834862387,96.26436781609196,97.23404255319149
17074,Fortià,63.50515463917525,59.10931174089069,57.98816568047337
17075,Garrigàs,45.45454545454545,49.354838709677416,49.36708860759494
17076,Garrigoles,14.093959731543624,29.25170068027211,22.516556291390728
17077,Garriguella,36.486486486486484,47.72036474164133,40.756914119359536
17078,Ger,74.30555555555556,53.63636363636364,38.764044943820224
17079,Girona,44.428700974835635,45.17520665757466,47.260669766929915
17080,Gombrèn,-18.672199170124482,-14.893617021276595,-17.29957805907173
17081,Gualta,55.925925925925924,66.02316602316603,47.53521126760563
17082,Guils de Cerdanya,93.42105263157895,87.46081504702194,70.99697885196375
17083,Hostalric,48.40698869475848,53.92670157068062,53.62819626814098
