Mun_Code,Mun_Name,Comarca_Code,Comarca_Name,Prov_Code,Prov_Name,CCAA_Code,CCAA_Name,Hombres_Total_Years,Hombres_Years_With_Data,Hombres_Years_Missing,Hombres_Pct_Missing,Hombres_Missing_Years,Mujeres_Total_Years,Mujeres_Years_With_Data,Mujeres_Years_Missing,Mujeres_Pct_Missing,Mujeres_Missing_Years,Total_Total_Years,Total_Years_With_Data,Total_Years_Missing,Total_Pct_Missing,Total_Missing_Years
11903,San Martín del Tesorillo,1105,CAMPO DE GIBRALTAR,11,Cádiz,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
2901,Pozo Cañada,204,CENTRO,2,Albacete,8,Castilla-La Mancha,28,24,4,14.29,"1996,1998,1999,2000",28,24,4,14.29,"1996,1998,1999,2000",28,24,4,14.29,"1996,1998,1999,2000"
10902,Vegaviana,1010,CORIA,10,Cáceres,11,Extremadura,28,15,13,46.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009",28,15,13,46.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009",28,15,13,46.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009"
18914,Valderrubio,1801,DE LA VEGA,18,Granada,1,Andalucía,28,10,18,64.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014",28,10,18,64.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014",28,10,18,64.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
50902,Marracos,5001,EGEA DE LOS CABALLEROS,50,Zaragoza,2,Aragón,28,26,2,7.14,"1996,1998",28,26,2,7.14,"1996,1998",28,26,2,7.14,"1996,1998"
48916,Usansolo,4802,GRAN BILBAO,48,Bizkaia,16,País Vasco/Euskadi,28,1,27,96.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",28,1,27,96.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",28,1,27,96.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023"
46903,San Antonio de Benagéber,4607,HUERTA DE VALENCIA,46,València/Valencia,10,Comunitat Valenciana,28,27,1,3.57,1996,28,27,1,3.57,1996,28,27,1,3.57,1996
38901,"Pinar de El Hierro, El",3805,ISLA DE HIERRO,38,Santa Cruz de Tenerife,5,Canarias,28,17,11,39.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007",28,17,11,39.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007",28,17,11,39.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007"
18065,Dehesas Viejas,1805,IZNALLOZ,18,Granada,1,Andalucía,28,10,18,64.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014",28,10,18,64.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014",28,10,18,64.29,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014"
18915,Domingo Pérez de Granada,1805,IZNALLOZ,18,Granada,1,Andalucía,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
41904,"Palmar de Troya, El",4105,LA CAMPIÑA,41,Sevilla,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
18916,Torrenueva Costa,1808,LA COSTA,18,Granada,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
14901,Fuente Carreteros,1404,LAS COLONIAS,14,Córdoba,1,Andalucía,28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",28,6,22,78.57,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
36901,"Illa de Arousa, A",3602,LITORAL,36,Pontevedra,12,Galicia,28,27,1,3.57,1996,28,27,1,3.57,1996,28,27,1,3.57,1996
13903,Arenales de San Gregorio,1303,MANCHA,13,Ciudad Real,8,Castilla-La Mancha,28,25,3,10.71,"1996,1998,1999",28,25,3,10.71,"1996,1998,1999",28,25,3,10.71,"1996,1998,1999"
13904,Llanos del Caudillo,1303,MANCHA,13,Ciudad Real,8,Castilla-La Mancha,28,25,3,10.71,"1996,1998,1999",28,25,3,10.71,"1996,1998,1999",28,25,3,10.71,"1996,1998,1999"
10905,Pueblonuevo de Miramontes,1006,NAVALMORAL DE LA MATA,10,Cáceres,11,Extremadura,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
10904,Tiétar,1006,NAVALMORAL DE LA MATA,10,Cáceres,11,Extremadura,28,11,17,60.71,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013",28,11,17,60.71,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013",28,11,17,60.71,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013"
29902,Villanueva de la Concepción,2901,NORTE O ANTEQUERA,29,Málaga,1,Andalucía,28,14,14,50.0,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010",28,14,14,50.0,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010",28,14,14,50.0,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010"
48915,Ziortza-Bolibar,4806,ONDARROA,48,Bizkaia,16,País Vasco/Euskadi,28,19,9,32.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005",28,19,9,32.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005",28,19,9,32.14,"1996,1998,1999,2000,2001,2002,2003,2004,2005"
10903,Alagón del Río,1008,PLASENCIA,10,Cáceres,11,Extremadura,28,15,13,46.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009",28,15,13,46.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009",28,15,13,46.43,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009"
46904,Benicull de Xúquer,4608,RIBERAS DEL JUCAR,46,València/Valencia,10,Comunitat Valenciana,28,21,7,25.0,"1996,1998,1999,2000,2001,2002,2003",28,21,7,25.0,"1996,1998,1999,2000,2001,2002,2003",28,21,7,25.0,"1996,1998,1999,2000,2001,2002,2003"
40906,San Cristóbal de Segovia,4003,SEGOVIA,40,Segovia,7,Castilla y León,28,24,4,14.29,"1996,1998,1999,2000",28,24,4,14.29,"1996,1998,1999,2000",28,24,4,14.29,"1996,1998,1999,2000"
29903,Montecorto,2902,SERRANIA DE RONDA,29,Málaga,1,Andalucía,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
29904,Serrato,2902,SERRANIA DE RONDA,29,Málaga,1,Andalucía,28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015",28,9,19,67.86,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015"
23905,Arroyo del Ojanco,2303,SIERRA DE SEGURA,23,Jaén,1,Andalucía,28,23,5,17.86,"1996,1998,1999,2000,2001",28,23,5,17.86,"1996,1998,1999,2000,2001",28,23,5,17.86,"1996,1998,1999,2000,2001"
43907,"Canonja, La",4336,TARRAGONES,43,Tarragona,9,Cataluña/Catalunya,28,14,14,50.0,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010",28,14,14,50.0,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010",28,14,14,50.0,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010"
50903,Villamayor de Gállego,5005,ZARAGOZA,50,Zaragoza,2,Aragón,28,18,10,35.71,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006",28,18,10,35.71,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006",28,18,10,35.71,"1996,1998,1999,2000,2001,2002,2003,2004,2005,2006"
