Entity_Code;Entity_Name;NATCODE;Anomaly_Type;Admin_Status;Comarca_Code;Comarca_Name;Prov_Code;Prov_Name;CCAA_Code;CCAA_Name
53024;Comunidad de Covarrubias, Quintanilla del Coco y Retuerta;34070953024;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
53025;Comunidad de Cubillo del Campo y Hontoria de la Cantera;34070953025;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53026;Comunidad de Gete y Hacinas;34070953026;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53027;Ledanía de Hacinas y Salas de los Infantes;34070953027;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53028;Ledanía de Hacinas, Salas de los Infantes y Villanueva de Carazo;34070953028;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53029;Comunidad de 09314, 09374, 09356 y 09126;34070953029;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53031;Valle de las Venadas;34070953031;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53032;Comunidad de Palacios de la Sierra, Vilviestre del Pinar y San Leonardo de Yagüe;34070953032;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53033;Comunidad de Quintanaortuño y Merindad de Río Ubierna;34070953033;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53034;Comunidad de Quintanar de la Sierra y Vilviestre del Pinar;34070953034;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53035;Comunidad de Revilla del Campo y Torrelara;34070953035;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53036;Ledanía de Castrillo de la Reina, Hacinas y Salas de los Infantes;34070953036;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53037;Comunidad de la Aynosa;34070953037;Shared_Land;Shared_Land;905.0;ARLANZA;09;Burgos;07;Castilla y León
53038;Comunidad de Villagalijo y San Vicente del Valle;34070953038;Shared_Land;Shared_Land;903.0;DEMANDA;09;Burgos;07;Castilla y León
53039;Comunidad de Tardajos y Las Quintanillas;34070953039;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
53040;Comunidad de Tardajos y Rabé de las Calzadas;34070953040;Shared_Land;Shared_Land;908.0;ARLANZON;09;Burgos;07;Castilla y León
